"Model","site_name","climate_desc","Climate_Scenario","scenario_abbrev","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_co2e_gwp"
"APSIM","KBS","UKESM",5,"BC19-CR",-3.52885104,NA,-6.2333333333333,-9.76218437333333
"APSIM","LRF","UKESM",5,"BC19-CR",0.24374064,NA,-0.36666666666666,-0.122926026666661
"APSIM","KBS","UKESM",5,"BC38-CR",-3.51390039,NA,-6.60000000000003,-10.11390039
"APSIM","LRF","UKESM",5,"BC38-CR",0.2552121,NA,0.36666666666667,0.621878766666669
"APSIM","KBS","UKESM",5,"BC57-CR",-3.47663316,NA,-7.33333333333338,-10.8099664933334
"APSIM","LRF","UKESM",5,"BC57-CR",0.24982386,NA,0.36666666666666,0.616490526666601
"APSIM","KBS","UKESM",5,"BC76-CR",-3.42524325,NA,-7.33333333333331,-10.7585765833334
"APSIM","LRF","UKESM",5,"BC76-CR",0.24089208,NA,0,0.24089208
"APSIM","KBS","UKESM",5,"BC96-CR",-3.37662468,NA,-7.70000000000003,-11.07662468
"APSIM","LRF","UKESM",5,"BC96-CR",0.15392091,NA,0.366666666666701,0.520587576666703
"APSIM","KBS","UKESM",5,"CC-CR",-1.68114375,0.0017832123,-5.13333333333333,-6.81269387103333
"Daycent","KBS","UKESM",5,"CC-CR",-0.170634449700001,0.0017832123,-6.96666666666666,-7.1355179040667
"RothC","KBS","UKESM",5,"CC-CR",-0.92588909985,0.0017832123,-12.1594,-13.08350588755
"APSIM","LRF","UKESM",5,"CC-CR",0.39476151,-0.00415999944000001,-1.1,-0.70939848944
"Daycent","LRF","UKESM",5,"CC-CR",-0.0370511427000002,-0.00415999944000001,-1.1,-1.14121114214
"RothC","LRF","UKESM",5,"CC-CR",0.178855183650001,-0.00415999944000001,0.761016666666663,0.93571185087666
"APSIM","LRF","UKESM",5,"CC-NT-CR",0.373401599999999,-0.00229045619160007,-2.56666666666666,-2.19555552285826
"Daycent","LRF","UKESM",5,"CC-NT-CR",-0.0681661266,-0.00229045619160007,-0.366666666666699,-0.437123249458299
"RothC","LRF","UKESM",5,"CC-NT-CR",0.1526177367,-0.00229045619160007,0.173616666666666,0.32394394717507
"APSIM","LRF","UKESM",5,"CN",0.303208619999999,-0.00422061479999991,-0.733333333333337,-0.43434532813334
"Daycent","LRF","UKESM",5,"CN",-0.1373159502,-0.00422061479999991,0,-0.141536565
"RothC","LRF","UKESM",5,"CN",0.0829463348999999,-0.00422061479999991,-0.0175999999999999,0.0611257201000006
"APSIM","KBS","UKESM",5,"RF05-CR",-3.42942171,0.0046954863,-6.9666666666667,-10.3913928903667
"Daycent","KBS","UKESM",5,"RF05-CR",0.392109003,0.0046954863,-7.69999999999999,-7.3031955107
"RothC","KBS","UKESM",5,"RF05-CR",-1.5186563535,0.0046954863,-5.81313333333334,-7.3270942005333
"APSIM","LRF","UKESM",5,"RF05-CR",0.0638780999999993,-0.00526963895999999,-1.83333333333333,-1.77472487229333
"Daycent","LRF","UKESM",5,"RF05-CR",-0.1778267634,-0.00526963895999999,0,-0.18309640236
"RothC","LRF","UKESM",5,"RF05-CR",-0.0569743317000002,-0.00526963895999999,0.27335,0.21110602934
"APSIM","KBS","UKESM",5,"RF15-CR",-3.32524335,0.0046904418,-6.6,-9.9205529082
"Daycent","KBS","UKESM",5,"RF15-CR",0.391756708200001,0.0046904418,-7.69999999999999,-7.30355285
"RothC","KBS","UKESM",5,"RF15-CR",-1.4667433209,0.0046904418,-5.71706666666667,-7.1791195457667
"APSIM","LRF","UKESM",5,"RF15-CR",0.0325868400000004,-0.00481427639999998,-1.46666666666667,-1.43889410306667
"Daycent","LRF","UKESM",5,"RF15-CR",-0.1726971675,-0.00481427639999998,0,-0.1775114439
"RothC","LRF","UKESM",5,"RF15-CR",-0.0700551637499993,-0.00481427639999998,0.25135,0.17648055985
"APSIM","KBS","UKESM",5,"RF25-CR",-3.19314996,0.00479318849999999,-6.6,-9.78835677149997
"Daycent","KBS","UKESM",5,"RF25-CR",0.341393952899999,0.00479318849999999,-7.70000000000001,-7.3538128586
"RothC","KBS","UKESM",5,"RF25-CR",-1.42587800355,0.00479318849999999,-5.57516666666667,-6.9962514817167
"APSIM","LRF","UKESM",5,"RF25-CR",0.00904760999999965,-0.00439121376000007,-1.46666666666667,-1.46201027042666
"Daycent","LRF","UKESM",5,"RF25-CR",-0.1709680401,-0.00439121376000007,0,-0.17535925386
"RothC","LRF","UKESM",5,"RF25-CR",-0.0809602150500002,-0.00439121376000007,0.223483333333336,0.13813190452334
"APSIM","KBS","UKESM",5,"RF35-CR",-3.02842254,0.00478186200000003,-6.6,-9.623640678
"Daycent","KBS","UKESM",5,"RF35-CR",0.2298925629,0.00478186200000003,-6.96666666666667,-6.7319922417667
"RothC","KBS","UKESM",5,"RF35-CR",-1.39926498855,0.00478186200000003,-5.34233333333337,-6.7368164598834
"APSIM","LRF","UKESM",5,"RF35-CR",-0.00904760999999965,-0.00390063527999995,-2.2,-2.21294824528
"Daycent","LRF","UKESM",5,"RF35-CR",-0.1638722514,-0.00390063527999995,-0.366666666666674,-0.53443955334667
"RothC","LRF","UKESM",5,"RF35-CR",-0.0864599307000002,-0.00390063527999995,0.201116666666666,0.11075610068667
"APSIM","KBS","UKESM",5,"RR00-CR",-3.85780395,0.00463205519999998,-6.2333333333333,-10.0865052281333
"Daycent","KBS","UKESM",5,"RR00-CR",0.415479593099999,0.00463205519999998,-7.7,-7.2798883517
"RothC","KBS","UKESM",5,"RR00-CR",-1.72116217845,0.00463205519999998,-5.93083333333335,-7.6473634565833
"APSIM","LRF","UKESM",5,"RR00-CR",0.0622393199999998,-0.00547799039999997,-1.46666666666667,-1.40990533706667
"Daycent","LRF","UKESM",5,"RR00-CR",-0.1773667896,-0.00547799039999997,-0.36666666666667,-0.549511446666667
"RothC","LRF","UKESM",5,"RR00-CR",-0.0575637347999995,-0.00547799039999997,0.28343333333334,0.22039160813334
"APSIM","KBS","UKESM",5,"RR00-NT-CR",-3.28760289,0.00892201500000001,-6.2333333333333,-9.51201420833333
"Daycent","KBS","UKESM",5,"RR00-NT-CR",-0.2333462703,0.00892201500000001,-10.2666666666667,-10.4910909219667
"RothC","KBS","UKESM",5,"RR00-NT-CR",-1.76047458015,0.00892201500000001,-6.29933333333333,-8.0508858984833
"APSIM","LRF","UKESM",5,"RR00-NT-CR",0.20861412,-0.00499071528359996,-3.66666666666666,-3.46304326195026
"Daycent","LRF","UKESM",5,"RR00-NT-CR",-0.1717024881,-0.00499071528359996,-0.366666666666703,-0.543359870050301
"RothC","LRF","UKESM",5,"RR00-NT-CR",0.0184558159499995,-0.00499071528359996,0.202216666666667,0.21568176733307
"APSIM","KBS","UKESM",5,"RR25-CR",-3.7146681,0.00115166700000002,-3.6666666666667,-7.38018309966666
"Daycent","KBS","UKESM",5,"RR25-CR",0.363772180200002,0.00115166700000002,-8.79999999999999,-8.4350761528
"RothC","KBS","UKESM",5,"RR25-CR",-1.6754479599,0.00115166700000002,-5.7288,-7.4030962929
"APSIM","LRF","UKESM",5,"RR25-CR",0.0452466300000003,-0.00383641704000004,-1.46666666666667,-1.42525645370667
"Daycent","LRF","UKESM",5,"RR25-CR",-0.1739821083,-0.00383641704000004,-0.36666666666667,-0.544485192006667
"RothC","LRF","UKESM",5,"RR25-CR",-0.0643677391499997,-0.00383641704000004,0.42075,0.35254584381
"APSIM","KBS","UKESM",5,"RR25-NT-CR",-3.10233495,0.00675531089999998,-3.3,-6.3955796391
"Daycent","KBS","UKESM",5,"RR25-NT-CR",-0.540962607899999,0.00675531089999998,-8.80000000000003,-9.334207297
"RothC","KBS","UKESM",5,"RR25-NT-CR",-1.82164877895,0.00675531089999998,-6.0797,-7.89459346805
"APSIM","LRF","UKESM",5,"RR25-NT-CR",0.23631894,-0.00324769961159999,-2.2,-1.9669287596116
