"","scenario_group","mean_val","site","climate_scen"
"1","NT",15.7449733012,"KBS","Baseline"
"2","RR",17.3811121913,"KBS","Baseline"
"3","Oth",13.83422650038,"KBS","Baseline"
"4","NT",15.9563039922,"KBS","UKESM"
"5","RR",16.8970922692,"KBS","UKESM"
"6","Oth",13.59732294492,"KBS","UKESM"
"7","NT",3.834501281325,"LRF","Baseline"
"8","RR",4.8581076115,"LRF","Baseline"
"9","Oth",4.44120523275,"LRF","Baseline"
"10","NT",3.981288135825,"LRF","UKESM"
"11","RR",5.026602152,"LRF","UKESM"
"12","Oth",4.5844937853,"LRF","UKESM"
