"","scenario_group","mean_val","site","climate_scen"
"1","NT",-16.8666666666667,"KBS","Baseline"
"2","RR",2.56666666666667,"KBS","Baseline"
"3","Oth",1.32,"KBS","Baseline"
"4","NT",-7.82222222222222,"KBS","UKESM"
"5","RR",10.3888888888889,"KBS","UKESM"
"6","Oth",8.72666666666667,"KBS","UKESM"
"7","NT",-15.7666666666667,"LRF","Baseline"
"8","RR",-3.78888888888889,"LRF","Baseline"
"9","Oth",-2.01666666666667,"LRF","Baseline"
"10","NT",-15.4,"LRF","UKESM"
"11","RR",-3.3,"LRF","UKESM"
"12","Oth",-1.77222222222223,"LRF","UKESM"
