"site_name","climate_desc.y","Climate_Scenario.y","scenario_abbrev","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_gwp"
"KBS","UKESM",5,"BC19-CR",-3.52885,NA,-6.23333,-9.76218
"KBS","Baseline",1,"BC19-CR",0,NA,0,0
"KBS","UKESM",5,"BC38-CR",-3.5139,NA,-6.6,-10.1139
"KBS","Baseline",1,"BC38-CR",0,NA,0,0
"KBS","Baseline",1,"BC57-CR",0,NA,0,0
"KBS","UKESM",5,"BC57-CR",-3.47663,NA,-7.33333,-10.80996
"KBS","Baseline",1,"BC76-CR",0,NA,0,0
"KBS","UKESM",5,"BC76-CR",-3.42524,NA,-7.33333,-10.75858
"KBS","Baseline",1,"BC96-CR",0,NA,0,0
"KBS","UKESM",5,"BC96-CR",-3.37662,NA,-7.7,-11.07662
"KBS","Baseline",1,"CC-CR",0,0,0,0
"KBS","UKESM",5,"CC-CR",-0.925890000000001,0.00178,-8.08646,-9.01057
"KBS","Baseline",1,"RF05-CR",0,0,0,0
"KBS","UKESM",5,"RF05-CR",-1.51865,0.00470000000000004,-6.8266,-8.34056
"KBS","Baseline",1,"RF15-CR",0,0,0,0
"KBS","UKESM",5,"RF15-CR",-1.46674,0.00468999999999997,-6.67235,-8.13441
"KBS","UKESM",5,"RF25-CR",-1.42588,0.00480000000000003,-6.62505,-8.04614
"KBS","Baseline",1,"RF25-CR",0,0,0,0
"KBS","UKESM",5,"RF35-CR",-1.39926,0.00478000000000001,-6.303,-7.69748
"KBS","Baseline",1,"RF35-CR",0,0,0,0
"KBS","UKESM",5,"RR00-CR",-1.72116,0.00462999999999997,-6.62139,-8.33792
"KBS","Baseline",1,"RR00-CR",0,0,0,0
"KBS","Baseline",1,"RR00-NT-CR",0,0,0,0
"KBS","UKESM",5,"RR00-NT-CR",-1.76047,0.00891999999999998,-7.59977,-9.35134
"KBS","Baseline",1,"RR25-CR",0,0,0,0
"KBS","UKESM",5,"RR25-CR",-1.67545,0.00116000000000005,-6.06515,-7.73945
"KBS","Baseline",1,"RR25-NT-CR",0,0,0,0
"KBS","UKESM",5,"RR25-NT-CR",-1.82165,0.00675000000000003,-6.0599,-7.8748
"KBS","Baseline",1,"RR50-CR",0,0,0,0
"KBS","UKESM",5,"RR50-CR",-1.5781,-0.000749999999999973,-4.9203,-6.49915
"KBS","UKESM",5,"RR50-NT-CR",-1.58049,0.00473000000000001,-5.14091,-6.71667
"KBS","Baseline",1,"RR50-NT-CR",0,0,0,0
"LRF","Baseline",1,"BC19-CR",0,NA,0,0
"LRF","UKESM",5,"BC19-CR",0.24374,NA,-0.36667,-0.12292
"LRF","UKESM",5,"BC38-CR",0.25521,NA,0.36667,0.621880000000001
"LRF","Baseline",1,"BC38-CR",0,NA,0,0
"LRF","UKESM",5,"BC57-CR",0.24983,NA,0.36666,0.616490000000001
"LRF","Baseline",1,"BC57-CR",0,NA,0,0
"LRF","UKESM",5,"BC76-CR",0.2409,NA,0,0.24089
"LRF","Baseline",1,"BC76-CR",0,NA,0,0
"LRF","Baseline",1,"BC96-CR",0,NA,0,0
"LRF","UKESM",5,"BC96-CR",0.15392,NA,0.366670000000001,0.520579999999999
"LRF","Baseline",1,"CC-CR",0,0,0,0
"LRF","UKESM",5,"CC-CR",0.17885,-0.00415999999999994,-0.47966,-0.30497
"LRF","UKESM",5,"CC-NT-CR",0.15262,-0.00229000000000001,-0.91991,-0.76958
"LRF","Baseline",1,"CC-NT-CR",0,0,0,0
"LRF","UKESM",5,"CN",0.0829399999999998,-0.00422,-0.25031,-0.17158
"LRF","Baseline",1,"CN",0,0,0,0
"LRF","UKESM",5,"RF05-CR",-0.0569800000000003,-0.00527,-0.52,-0.58224
"LRF","Baseline",1,"RF05-CR",0,0,0,0
"LRF","Baseline",1,"RF15-CR",0,0,0,0
"LRF","UKESM",5,"RF15-CR",-0.0700599999999998,-0.00481000000000009,-0.40511,-0.47997
"LRF","UKESM",5,"RF25-CR",-0.0809600000000001,-0.00439000000000001,-0.4144,-0.49974
"LRF","Baseline",1,"RF25-CR",0,0,0,0
"LRF","UKESM",5,"RF35-CR",-0.0864599999999998,-0.00390000000000001,-0.78851,-0.87888
"LRF","Baseline",1,"RF35-CR",0,0,0,0
"LRF","UKESM",5,"RR00-CR",-0.0575699999999992,-0.00547999999999993,-0.51664,-0.57967
"LRF","Baseline",1,"RR00-CR",0,0,0,0
"LRF","UKESM",5,"RR00-NT-CR",0.0184499999999996,-0.00498999999999994,-1.27704,-1.26357
"LRF","Baseline",1,"RR00-NT-CR",0,0,0,0
"LRF","UKESM",5,"RR25-CR",-0.0643699999999994,-0.00384000000000007,-0.47087,-0.53907
"LRF","Baseline",1,"RR25-CR",0,0,0,0
"LRF","UKESM",5,"RR25-NT-CR",0.0395300000000001,-0.00324999999999998,-0.76903,-0.73274
"LRF","Baseline",1,"RR25-NT-CR",0,0,0,0
"LRF","UKESM",5,"RR50-CR",-0.0705599999999995,-0.00388999999999995,-0.34767,-0.4221
"LRF","Baseline",1,"RR50-CR",0,0,0,0
"LRF","UKESM",5,"RR50-NT-CR",-0.0555300000000001,-0.00209000000000004,-0.38787,-0.44549
"LRF","Baseline",1,"RR50-NT-CR",0,0,0,0
