"mean_CO2e_N2O","mean_CO2e_CH4","mean_CO2e_SOC","mean_GWP","scenario_abbrev","site_name","Climate_Scenario","climate_desc"
9.21496,-0.35196,-7.92843,0.93457,"CC-CR","KBS",1,"Baseline"
15.34739,-0.36277,-5.26326,9.72136,"RF05-CR","KBS",1,"Baseline"
14.27076,-0.3629,-4.79013,9.11772,"RF15-CR","KBS",1,"Baseline"
13.27733,-0.36288,-4.29623,8.61821,"RF25-CR","KBS",1,"Baseline"
12.36857,-0.36303,-3.51352,8.49202,"RF35-CR","KBS",1,"Baseline"
14.48125,-0.37548,-0.23051,13.87525,"RR50-CR","KBS",1,"Baseline"
15.13785,-0.37148,-3.51743,11.24893,"RR25-CR","KBS",1,"Baseline"
16.68662,-0.3627,-5.61526,10.70866,"RR00-CR","KBS",1,"Baseline"
13.70497,-0.43207,-5.30408,7.96882,"RR50-NT-CR","KBS",1,"Baseline"
14.23657,-0.42638,-8.80892,5.00127,"RR25-NT-CR","KBS",1,"Baseline"
16.36295,-0.41951,-13.04844,2.89499,"RR00-NT-CR","KBS",1,"Baseline"
15.92934,NA,-16.5,-0.57066,"BC19-CR","KBS",1,"Baseline"
15.54085,NA,-13.56667,1.97418,"BC38-CR","KBS",1,"Baseline"
15.1908,NA,-10.63333,4.55747,"BC57-CR","KBS",1,"Baseline"
14.89072,NA,-7.7,7.19072,"BC76-CR","KBS",1,"Baseline"
14.61194,NA,-5.5,9.11194,"BC96-CR","KBS",1,"Baseline"
10.14085,-0.35374,0.15803,9.94514,"CC-CR","KBS",5,"UKESM"
16.86604,-0.36747,1.56334,18.06192,"RF05-CR","KBS",5,"UKESM"
15.7375,-0.36759,1.88222,17.25213,"RF15-CR","KBS",5,"UKESM"
14.70321,-0.36768,2.32882,16.66435,"RF25-CR","KBS",5,"UKESM"
13.76783,-0.36781,2.78948,16.1895,"RF35-CR","KBS",5,"UKESM"
16.05935,-0.37473,4.68979,20.3744,"RR50-CR","KBS",5,"UKESM"
16.8133,-0.37264,2.54772,18.98838,"RR25-CR","KBS",5,"UKESM"
18.40778,-0.36733,1.00613,19.04658,"RR00-CR","KBS",5,"UKESM"
15.28546,-0.4368,-0.16317,14.68549,"RR50-NT-CR","KBS",5,"UKESM"
