"Climate_Scenario","scenario_abbrev","Mgmt_Scenario","Scenario_Name","Model","site_name","CO2e_N2O","CO2e_CH4","CO2e_SOC","GWP","climate_desc"
1,"CC-CR",3,"1_3","APSIM","KBS",7.75410207,-0.3519601254,-14.3,-6.8978580554,"Baseline"
1,"CC-CR",3,"1_3","Daycent","KBS",10.675827162,-0.3519601254,1.10000000000001,11.4238670366,"Baseline"
1,"CC-CR",3,"1_3","RothC","KBS",9.214964616,-0.3519601254,-10.5853,-1.7222955094,"Baseline"
1,"RF05-CR",41,"1_41","APSIM","KBS",14.74225896,-0.362770686,-20.1666666666667,-5.78717839266666,"Baseline"
1,"RF05-CR",41,"1_41","Daycent","KBS",15.9525176382,-0.362770686,0.733333333333344,16.3230802855333,"Baseline"
1,"RF05-CR",41,"1_41","RothC","KBS",15.3473882991,-0.362770686,3.64356666666666,18.6281842797667,"Baseline"
1,"RF15-CR",42,"1_42","APSIM","KBS",13.44573087,-0.3629008314,-19.4333333333333,-6.35050329473333,"Baseline"
1,"RF15-CR",42,"1_42","Daycent","KBS",15.095781558,-0.3629008314,1.10000000000001,15.8328807266,"Baseline"
1,"RF15-CR",42,"1_42","RothC","KBS",14.270756214,-0.3629008314,3.96293333333333,17.8707887159333,"Baseline"
1,"RF25-CR",43,"1_43","APSIM","KBS",12.35568048,-0.362883204,-18.7,-6.70720272399997,"Baseline"
1,"RF25-CR",43,"1_43","Daycent","KBS",14.1989790228,-0.362883204,1.46666666666666,15.3027624854667,"Baseline"
1,"RF25-CR",43,"1_43","RothC","KBS",13.2773297514,-0.362883204,4.34463333333333,17.2590798807333,"Baseline"
1,"RF35-CR",44,"1_44","APSIM","KBS",11.48910906,-0.3630296925,-17.6,-6.4739206325,"Baseline"
1,"RF35-CR",44,"1_44","Daycent","KBS",13.2480271209,-0.3630296925,2.2,15.0849974284,"Baseline"
1,"RF35-CR",44,"1_44","RothC","KBS",12.36856809045,-0.3630296925,4.85943333333333,16.8649717312833,"Baseline"
1,"RR50-CR",51,"1_51","APSIM","KBS",11.05013052,-0.3754832166,-12.1,-1.4253526966,"Baseline"
1,"RR50-CR",51,"1_51","Daycent","KBS",17.9123665149,-0.3754832166,6.6,24.1368832983,"Baseline"
1,"RR50-CR",51,"1_51","RothC","KBS",14.48124851745,-0.3754832166,4.80846666666667,18.9142319675167,"Baseline"
1,"RR25-CR",52,"1_52","APSIM","KBS",12.61369824,-0.3714837048,-15.4,-3.1577854648,"Baseline"
1,"RR25-CR",52,"1_52","Daycent","KBS",17.661997782,-0.3714837048,0.733333333333344,18.0238474105333,"Baseline"
1,"RR25-CR",52,"1_52","RothC","KBS",15.137848011,-0.3714837048,4.11436666666667,18.8807309728667,"Baseline"
1,"RR00-CR",53,"1_53","APSIM","KBS",16.80426033,-0.3626987598,-20.5333333333333,-4.09177176313333,"Baseline"
1,"RR00-CR",53,"1_53","Daycent","KBS",16.568972277,-0.3626987598,0.36666666666667,16.5729401838667,"Baseline"
1,"RR00-CR",53,"1_53","RothC","KBS",16.6866163035,-0.3626987598,3.32089999999998,19.6448175437,"Baseline"
1,"RR50-NT-CR",54,"1_54","APSIM","KBS",11.33236533,-0.4320727803,-10.2666666666667,0.633625883033333,"Baseline"
1,"RR50-NT-CR",54,"1_54","Daycent","KBS",16.0775724681,-0.4320727803,-10.6333333333333,5.01216635446667,"Baseline"
1,"RR50-NT-CR",54,"1_54","RothC","KBS",13.70496889905,-0.4320727803,4.98776666666667,18.2606627854167,"Baseline"
1,"RR25-NT-CR",55,"1_55","APSIM","KBS",12.9142299,-0.426377718,-13.9333333333333,-1.44548115133333,"Baseline"
1,"RR25-NT-CR",55,"1_55","Daycent","KBS",15.5589195333,-0.426377718,-16.8666666666667,-1.73412485136666,"Baseline"
1,"RR25-NT-CR",55,"1_55","RothC","KBS",14.23657471665,-0.426377718,4.3732333333333,18.1834303319833,"Baseline"
1,"RR00-NT-CR",56,"1_56","APSIM","KBS",17.12746893,-0.4195091943,-19.8,-3.0920402643,"Baseline"
1,"RR00-NT-CR",56,"1_56","Daycent","KBS",15.5984279022,-0.4195091943,-23.1,-7.9210812921,"Baseline"
1,"RR00-NT-CR",56,"1_56","RothC","KBS",16.3629484161,-0.4195091943,3.75466666666667,19.6981058884667,"Baseline"
1,"BC19-CR",61,"1_61","APSIM","KBS",15.92934057,NA,-16.5,-0.570659430000001,"Baseline"
1,"BC38-CR",62,"1_62","APSIM","KBS",15.54084675,NA,-13.5666666666667,1.97418008333333,"Baseline"
1,"BC57-CR",63,"1_63","APSIM","KBS",15.19079991,NA,-10.6333333333334,4.55746657666663,"Baseline"
1,"BC76-CR",64,"1_64","APSIM","KBS",14.8907187,NA,-7.69999999999996,7.19071870000004,"Baseline"
