"diff_co2e_n2o","min_co2e_n2o","min_co2e_n2o_scen_abbr","max_co2e_n2o","max_co2e_n2o_climate_desc","diff_co2e_ch4","min_co2e_ch4","min_co2e_ch4_scen_abbr","max_co2e_ch4","max_co2e_ch4_climate_desc","diff_co2e_soc","min_co2e_soc","min_co2e_soc_scen_abbr","max_co2e_soc","max_co2e_soc_climate_desc","diff_co2e_gwp","min_co2e_gwp","min_co2e_gwp_scen_abbr","max_co2e_gwp","max_co2e_gwp_climate_desc","scenario_abbrev","site_name","Climate_Scenario"
0,-3.52885,"UKESM",-3.52885,"UKESM",NA,NA,"UKESM",NA,"UKESM",0,-6.23333,"UKESM",-6.23333,"UKESM",0,-9.76218,"UKESM",-9.76218,"UKESM","BC19-CR","KBS",5
0,-3.5139,"UKESM",-3.5139,"UKESM",NA,NA,"UKESM",NA,"UKESM",0,-6.6,"UKESM",-6.6,"UKESM",0,-10.1139,"UKESM",-10.1139,"UKESM","BC38-CR","KBS",5
0,-3.47663,"UKESM",-3.47663,"UKESM",NA,NA,"UKESM",NA,"UKESM",0,-7.33333,"UKESM",-7.33333,"UKESM",0,-10.80996,"UKESM",-10.80996,"UKESM","BC57-CR","KBS",5
0,-3.42524,"UKESM",-3.42524,"UKESM",NA,NA,"UKESM",NA,"UKESM",0,-7.33333,"UKESM",-7.33333,"UKESM",0,-10.75858,"UKESM",-10.75858,"UKESM","BC76-CR","KBS",5
0,-3.37662,"UKESM",-3.37662,"UKESM",NA,NA,"UKESM",NA,"UKESM",0,-7.7,"UKESM",-7.7,"UKESM",0,-11.07662,"UKESM",-11.07662,"UKESM","BC96-CR","KBS",5
0,-0.925890000000001,"UKESM",-0.925890000000001,"UKESM",0,0.00178,"UKESM",0.00178,"UKESM",0,-8.08646,"UKESM",-8.08646,"UKESM",0,-9.01057,"UKESM",-9.01057,"UKESM","CC-CR","KBS",5
0,-1.51865,"UKESM",-1.51865,"UKESM",0,0.00470000000000004,"UKESM",0.00470000000000004,"UKESM",0,-6.8266,"UKESM",-6.8266,"UKESM",0,-8.34056,"UKESM",-8.34056,"UKESM","RF05-CR","KBS",5
0,-1.46674,"UKESM",-1.46674,"UKESM",0,0.00468999999999997,"UKESM",0.00468999999999997,"UKESM",0,-6.67235,"UKESM",-6.67235,"UKESM",0,-8.13441,"UKESM",-8.13441,"UKESM","RF15-CR","KBS",5
0,-1.42588,"UKESM",-1.42588,"UKESM",0,0.00480000000000003,"UKESM",0.00480000000000003,"UKESM",0,-6.62505,"UKESM",-6.62505,"UKESM",0,-8.04614,"UKESM",-8.04614,"UKESM","RF25-CR","KBS",5
0,-1.39926,"UKESM",-1.39926,"UKESM",0,0.00478000000000001,"UKESM",0.00478000000000001,"UKESM",0,-6.303,"UKESM",-6.303,"UKESM",0,-7.69748,"UKESM",-7.69748,"UKESM","RF35-CR","KBS",5
