Model,Climate_Scenario,site_name,source,BC19-CR,BC38-CR,BC57-CR,BC76-CR,BC96-CR,CC-CR,CC-NT-CR,CN,RF05-CR,RF15-CR,RF25-CR,RF35-CR,RR00-CR,RR00-NT-CR,RR25-CR,RR25-NT-CR,RR50-CR,RR50-NT-CR
APSIM,1,LRF,Maize_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,1,LRF,Soybean_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,1,LRF,Wheat_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,1,LRF,Cotton_Diff_Mgha,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.1,0.2,-0.1
APSIM,1,LRF,Sorghum_Diff_Mgha,0.4,0.4,0.5,0.4,0.6,0.4,0.5,NA,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.5,-0.5,-0.5
Daycent,1,LRF,Maize_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,1,LRF,Soybean_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,1,LRF,Wheat_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,1,LRF,Cotton_Diff_Mgha,NA,NA,NA,NA,NA,0.2,-0.1,0.2,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,-0.2,0.0,-0.2
Daycent,1,LRF,Sorghum_Diff_Mgha,NA,NA,NA,NA,NA,0.5,0.7,NA,1.0,0.9,0.9,0.8,1.1,0.6,0.6,0.5,0.4,0.4
APSIM,5,LRF,Maize_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,5,LRF,Soybean_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,5,LRF,Wheat_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,5,LRF,Cotton_Diff_Mgha,-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.5,-0.4,-0.4,-0.4,-0.5,-0.4,-0.3,-0.1,-0.2,-0.2
APSIM,5,LRF,Sorghum_Diff_Mgha,0.0,0.0,0.0,-0.1,0.3,-0.3,-0.4,NA,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3
Daycent,5,LRF,Maize_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,5,LRF,Soybean_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,5,LRF,Wheat_Diff_Mgha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,5,LRF,Cotton_Diff_Mgha,NA,NA,NA,NA,NA,0.4,0.4,0.5,0.7,0.7,0.6,0.6,0.8,0.5,0.5,0.4,0.4,0.4
Daycent,5,LRF,Sorghum_Diff_Mgha,NA,NA,NA,NA,NA,0.7,0.5,NA,0.9,0.8,0.7,0.7,0.9,0.5,0.7,0.4,0.6,0.3
