Obs_date,Treatment,Plot,Observation_type,Equipment
6/9/2022,T1,T1R1,Pesticide application,Top Air Sprayer
6/2/2022,T1,T1R1,Pesticide application,Top Air Sprayer
5/12/2022,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/10/2022,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/5/2022,T1,T1R1,Fertilizer application,Top Air Sprayer
4/28/2022,T1,T1R1,Weed control,Top Air Sprayer
4/28/2022,T1,T1R1,Pesticide application,Top Air Sprayer
4/28/2022,T1,T1R1,Herbicide application,Top Air Sprayer
3/22/2022,T1,T1R1,Fertilizer application,Top Air Sprayer
11/9/2021,T1,T1R1,Planting,John Deere 1590 15' no-till drill
11/7/2021,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
10/1/2021,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
9/30/2021,T1,T1R1,Harvest,Truck #892 (Blue/Red)
9/30/2021,T1,T1R1,Harvest,Truck #1271 (Blue/White)
9/30/2021,T1,T1R1,Harvest,John Deere S660 Combine
9/30/2021,T1,T1R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
9/30/2021,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
9/30/2021,T1,T1R1,Harvest,Truck #1270 (White/Green)
7/27/2021,T1,T1R1,Weed control,Turbo TeeJet Induction TTI-11003 Flat Spray Tip (Nozzle)
7/27/2021,T1,T1R1,Pesticide application,Top Air Sprayer
7/27/2021,T1,T1R1,Weed control,Top Air Sprayer
7/27/2021,T1,T1R1,Pesticide application,Turbo TeeJet Induction TTI-11003 Flat Spray Tip (Nozzle)
6/17/2021,T1,T1R1,Weed control,Turbo TeeJet Induction TTI-11003 Flat Spray Tip (Nozzle)
6/17/2021,T1,T1R1,Weed control,Top Air Sprayer
6/17/2021,T1,T1R1,Pesticide application,Turbo TeeJet Induction TTI-11003 Flat Spray Tip (Nozzle)
6/17/2021,T1,T1R1,Pesticide application,Top Air Sprayer
5/14/2021,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/10/2021,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
4/30/2021,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
11/10/2020,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
11/7/2020,T1,T1R1,Mowing,John Deere 115 15' flail mower
