obs_date,treatment,material,rate_kg_ha,n_rate_kg_ha,p_rate_kg_ha,k_rate_kg_ha,date,year,rate,units,observation_type,equipment,crop,obs_code,rate_seeds_ha,rate_seeds_m2,row_spacing_mm,seed_depth_mm,cultivar
6/26/1989,T1,ammonium nitrate (34-0-0),364,124,0,0,6/26/1989,1989,325,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
6/15/1991,T1,ammonium nitrate (34-0-0),364,124,0,0,6/15/1991,1991,325,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
4/27/1993,T1,0-0-60 potash fertilizer,90,0,0,27,4/27/1993,1993,80,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
7/1/1993,T1,ammonium nitrate (34-0-0),247,84,0,0,7/1/1993,1993,220,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
4/17/1995,T1,ammonium nitrate (34-0-0),165,56,0,0,4/17/1995,1995,147,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
3/4/1996,T1,0-0-60 potash fertilizer,225,0,0,67,3/4/1996,1996,201,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/14/1996,T1,28% UAN (28-0-0),96,27,0,0,5/14/1996,1996,86,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/14/1996,T1,N,28,28,NA,NA,5/14/1996,1996,25,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
6/27/1996,T1,ammonium nitrate (34-0-0),393,134,0,0,6/27/1996,1996,351,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
4/9/1997,T1,lime,393,0,0,0,4/9/1997,1997,351,lb/ac,Fertilizer application,NA,NA,CalciteCA,NA,NA,NA,NA,NA
4/10/1997,T1,0-0-60 potash fertilizer,187,0,0,56,4/10/1997,1997,167,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/10/1997,T1,P205,102,0,45,0,4/10/1997,1997,91,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/20/1998,T1,ammonium nitrate (34-0-0),165,56,0,0,4/20/1998,1998,147,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
4/20/1999,T1,lime,1123,0,0,0,4/20/1999,1999,1002,lb/ac,Fertilizer application,NA,NA,CalciteCA,NA,NA,NA,NA,NA
5/19/1999,T1,28% UAN (28-0-0),96,27,0,0,5/19/1999,1999,86,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
6/30/1999,T1,ammonium nitrate (34-0-0),165,56,0,NA,6/30/1999,1999,147,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
10/20/2000,T1,lime,2470,0,0,0,10/20/2000,2000,2204,lb/ac,Fertilizer application,NA,NA,CalciteCA,NA,NA,NA,NA,NA
4/5/2001,T1,28% UAN (28-0-0),144,40,0,0,4/5/2001,2001,128,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/18/2001,T1,28% UAN (28-0-0),144,40,0,0,4/18/2001,2001,128,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/24/2001,T1,Ammonium sulfate (AMS),19,3,NA,NA,8/24/2001,2001,17,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/20/2002,T1,0-0-60 potash fertilizer,140,0,0,42,4/20/2002,2002,125,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2002,T1,19-17-0 liquid fertilizer,148,28,11,0,5/10/2002,2002,132,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
7/1/2002,T1,28% UAN (28-0-0),479,134,0,0,7/1/2002,2002,427,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/26/2003,T1,0-0-60 potash fertilizer,112,0,0,33,4/26/2003,2003,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2003,T1,11-52-0 monoammonium phosphate fertilizer,63,7,14,0,4/26/2003,2003,56,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
10/8/2003,T1,19-19-19,187,36,16,31,10/8/2003,2003,167,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
4/16/2004,T1,28% UAN (28-0-0),192,54,0,0,4/16/2004,2004,171,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
