time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.50,205,'W4EG70',11.0368,9.1543,0.4818,6.0702,0.3199,0.0000,0.0000,4.4699,0.0806,0.0000,0.0000,4.4699,0.0806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0993,0.0018,0.0000,0.0000,0.3973,0.0072,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.6766,3.6410,0.0000,0.0000,0.4249,0.0247,0.0000,0.0000,6.0702,0.3199,0.0000,0.0000,4.4699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0519,0.0209,0.0000,0.0000,6.4619,0.1281,0.0000,0.0000,0.2223,0.0044,0.0000,0.0000,1.3658,0.0271,0.0000,0.0000
2023.75,303,'C6526',644.4007,128.5076,6.7636,373.7524,9.8555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.1297,0.5519,0.0000,0.0000,216.5186,2.2076,0.0000,0.0000,0.0000,14.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.7187,2.2264,0.0000,0.0000,0.2215,0.0160,0.0000,0.0000,373.7524,9.8555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2180,0.3339,0.0000,0.0000,93.4820,2.0513,0.0000,0.0000,3.2486,0.0708,0.0000,0.0000,19.9556,0.4351,0.0000,0.0000
2024.67,273,'SYBN106',332.9724,50.4061,2.6530,133.1890,17.2044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.9567,1.2780,0.0000,0.0000,159.8268,5.1122,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.0625,3.1558,0.0000,0.0000,0.2655,0.0150,0.0000,0.0000,133.1890,17.2044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8735,0.1982,0.0000,0.0000,29.9371,1.2174,0.0000,0.0000,1.1804,0.0475,0.0000,0.0000,7.2512,0.2916,0.0000,0.0000
2025.50,205,'W337',429.4477,103.5415,5.4496,214.7238,6.3462,0.0000,0.0000,193.2514,1.5992,0.0000,0.0000,193.2514,1.5992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2945,0.0355,0.0000,0.0000,17.1779,0.1422,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0969,0.8077,0.0000,0.0000,0.1101,0.0057,0.0000,0.0000,214.7238,6.3462,0.0000,0.0000,193.2514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1195,0.2742,0.0000,0.0000,80.5914,1.6844,0.0000,0.0000,1.8914,0.0400,0.0000,0.0000,11.6184,0.2455,0.0000,0.0000
2026.75,303,'C6526',572.8181,119.1401,6.2705,332.2345,8.9557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.1167,0.5015,0.0000,0.0000,192.4669,2.0061,0.0000,0.0000,0.0000,14.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5345,2.3765,0.0000,0.0000,0.3673,0.0212,0.0000,0.0000,332.2345,8.9557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.1500,0.3094,0.0000,0.0000,86.9214,1.9004,0.0000,0.0000,2.9785,0.0646,0.0000,0.0000,18.2965,0.3966,0.0000,0.0000
2027.67,273,'SYBN106',357.4056,56.8191,2.9905,142.7413,18.3297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.9329,1.3655,0.0000,0.0000,171.7314,5.4621,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.2203,1.7594,0.0000,0.0000,0.3123,0.0173,0.0000,0.0000,142.7413,18.3297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3107,0.2164,0.0000,0.0000,32.6229,1.3294,0.0000,0.0000,1.4243,0.0574,0.0000,0.0000,8.7492,0.3525,0.0000,0.0000
2028.50,205,'W337',391.2231,98.2343,5.1702,195.6115,6.1849,0.0000,0.0000,176.0504,1.5586,0.0000,0.0000,176.0504,1.5586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9122,0.0346,0.0000,0.0000,15.6489,0.1385,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.7755,1.4302,0.0000,0.0000,0.1439,0.0073,0.0000,0.0000,195.6115,6.1849,0.0000,0.0000,176.0504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2257,0.2606,0.0000,0.0000,75.1007,1.6011,0.0000,0.0000,1.9858,0.0426,0.0000,0.0000,12.1985,0.2618,0.0000,0.0000
2029.75,303,'C6526',385.4093,106.0589,5.5820,207.4378,6.4041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.5943,0.4211,0.0000,0.0000,142.3772,1.6843,0.0000,0.0000,0.0000,14.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.4954,2.8745,0.0000,0.0000,0.3611,0.0192,0.0000,0.0000,207.4378,6.4041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1497,0.2638,0.0000,0.0000,74.6339,1.6208,0.0000,0.0000,3.0426,0.0654,0.0000,0.0000,18.6901,0.4020,0.0000,0.0000
2030.67,273,'SYBN106',292.4341,48.7028,2.5633,113.9089,15.2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.7050,1.1849,0.0000,0.0000,142.8202,4.7396,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.7815,5.4257,0.0000,0.0000,0.1150,0.0069,0.0000,0.0000,113.9089,15.2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6491,0.1896,0.0000,0.0000,28.5590,1.1650,0.0000,0.0000,1.1733,0.0473,0.0000,0.0000,7.2076,0.2907,0.0000,0.0000
2031.50,205,'W337',402.4117,98.8176,5.2009,201.2058,6.2953,0.0000,0.0000,181.0853,1.5864,0.0000,0.0000,181.0853,1.5864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0241,0.0353,0.0000,0.0000,16.0965,0.1410,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5040,0.9186,0.0000,0.0000,0.0993,0.0056,0.0000,0.0000,201.2058,6.2953,0.0000,0.0000,181.0853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2653,0.2607,0.0000,0.0000,75.3442,1.6017,0.0000,0.0000,2.0312,0.0435,0.0000,0.0000,12.4771,0.2675,0.0000,0.0000
