time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1990.00,31,'CLVC80',277.9308,88.0114,4.6322,0.0000,0.0000,0.0000,0.0000,278.1497,10.7736,0.0000,0.0000,277.9308,10.7658,0.0000,0.0000,0.2189,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,278.1497,10.7736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4093,0.4754,0.0000,0.0000,70.0859,2.9202,0.0000,0.0000,1.1606,0.0484,0.0000,0.0000,7.1291,0.2970,0.0000,0.0000
1990.83,316,'C721',236.6684,88.7851,4.6729,142.0010,3.3921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.9335,0.1900,0.0000,0.0000,75.7339,0.7598,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5833,0.4641,0.0000,0.0000,0.2352,0.0154,0.0000,0.0000,142.0010,3.3921,0.0000,0.0000,278.1497,10.7736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0653,0.1861,0.0000,0.0000,61.8298,1.1431,0.0000,0.0000,2.5946,0.0489,0.0000,0.0000,15.9380,0.3005,0.0000,0.0000
1991.75,274,'SYBN104',410.9863,66.9616,3.5243,127.4058,20.5346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.7161,1.5254,0.0000,0.0000,226.8645,6.1017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4356,0.0431,0.0000,0.0000,0.1221,0.0052,0.0000,0.0000,127.4058,20.5346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5166,0.2639,0.0000,0.0000,40.0304,1.6210,0.0000,0.0000,1.5435,0.0615,0.0000,0.0000,9.4812,0.3781,0.0000,0.0000
1992.50,203,'W337',150.7260,59.2311,3.1174,75.3630,2.1009,0.0000,0.0000,67.8267,0.5294,0.0000,0.0000,67.8267,0.5294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5073,0.0118,0.0000,0.0000,6.0290,0.0471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1100,0.0657,0.0000,0.0000,0.0119,0.0005,0.0000,0.0000,75.3630,2.1009,0.0000,0.0000,67.8267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6432,0.1429,0.0000,0.0000,46.9511,0.8778,0.0000,0.0000,0.9494,0.0179,0.0000,0.0000,5.8320,0.1097,0.0000,0.0000
1993.00,31,'CLVC80',171.7659,54.3925,2.8628,0.0000,0.0000,0.0000,0.0000,182.8864,7.4583,0.0000,0.0000,171.7659,7.1922,0.0000,0.0000,11.1206,0.2662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.8864,7.4583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2110,0.3005,0.0000,0.0000,44.2962,1.8457,0.0000,0.0000,0.5761,0.0240,0.0000,0.0000,3.5387,0.1474,0.0000,0.0000
1993.83,306,'C721',413.8192,141.7760,7.4619,248.2915,5.6302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.1055,0.3153,0.0000,0.0000,132.4221,1.2612,0.0000,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.1732,0.4863,0.0000,0.0000,0.1727,0.0110,0.0000,0.0000,248.2915,5.6302,0.0000,0.0000,182.8864,7.4583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.1497,0.3346,0.0000,0.0000,105.3483,2.0552,0.0000,0.0000,3.2178,0.0642,0.0000,0.0000,19.7665,0.3941,0.0000,0.0000
1994.25,97,'CLVC80',14.0984,4.4645,0.2350,0.0000,0.0000,0.0000,0.0000,33.8291,1.3732,0.0000,0.0000,14.0984,1.1853,0.0000,0.0000,19.7307,0.1879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7103,0.0039,0.0000,0.0000,0.0025,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.8291,1.3732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6215,0.0259,0.0000,0.0000,3.8176,0.1591,0.0000,0.0000,0.0329,0.0014,0.0000,0.0000,0.2024,0.0084,0.0000,0.0000
1994.75,288,'SYBN104',348.0932,48.5039,2.5528,107.9089,18.0911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0369,1.3439,0.0000,0.0000,192.1474,5.3756,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.7211,0.6381,0.0000,0.0000,0.3707,0.0171,0.0000,0.0000,107.9089,18.0911,0.0000,0.0000,33.8291,1.3732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7553,0.1946,0.0000,0.0000,29.2112,1.1953,0.0000,0.0000,1.0546,0.0428,0.0000,0.0000,6.4780,0.2630,0.0000,0.0000
1995.50,207,'W337',316.0433,89.8798,4.7305,157.9308,4.3268,0.0000,0.0000,142.1377,1.0904,0.0000,0.0000,142.1377,1.0904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1586,0.0242,0.0000,0.0000,12.6345,0.0969,0.0000,0.0000,0.0000,3.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8643,0.0746,0.0000,0.0000,0.1121,0.0064,0.0000,0.0000,157.9308,4.3268,0.0000,0.0000,142.1377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3622,0.2251,0.0000,0.0000,69.7962,1.3829,0.0000,0.0000,1.6309,0.0329,0.0000,0.0000,10.0184,0.2022,0.0000,0.0000
1996.00,31,'CLVC80',254.7226,80.6622,4.2454,0.0000,0.0000,0.0000,0.0000,256.4124,9.9557,0.0000,0.0000,254.7226,9.9427,0.0000,0.0000,1.6898,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,256.4124,9.9557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.5099,0.4379,0.0000,0.0000,64.5606,2.6900,0.0000,0.0000,1.0027,0.0418,0.0000,0.0000,6.1596,0.2566,0.0000,0.0000
