time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.50,205,'W4EG70',4.2245,3.3467,0.1761,2.3189,0.1473,0.0000,0.0000,1.7150,0.0373,0.0000,0.0000,1.7150,0.0373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0381,0.0008,0.0000,0.0000,0.1524,0.0033,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8423,0.5783,0.0000,0.0000,0.2044,0.0174,0.0000,0.0000,2.3189,0.1473,0.0000,0.0000,1.7150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3678,0.0079,0.0000,0.0000,2.2593,0.0487,0.0000,0.0000,0.0951,0.0020,0.0000,0.0000,0.5841,0.0126,0.0000,0.0000
2023.75,295,'C620',647.2527,130.9683,6.8931,355.9890,10.0823,0.0000,0.0000,145.6319,1.4115,0.0000,0.0000,145.6319,1.4115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.1264,0.2823,0.0000,0.0000,116.5055,1.1292,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1951,2.5684,0.0000,0.0000,0.3754,0.0416,0.0000,0.0000,355.9890,10.0823,0.0000,0.0000,145.6319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.6075,0.3466,0.0000,0.0000,95.8749,2.1294,0.0000,0.0000,3.2389,0.0719,0.0000,0.0000,19.8961,0.4418,0.0000,0.0000
2024.67,273,'SYBN106',278.4148,56.5001,2.9737,110.9215,14.9104,0.0000,0.0000,83.7467,2.7895,0.0000,0.0000,83.7467,2.7895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7493,0.5579,0.0000,0.0000,66.9973,2.2316,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.7784,5.2291,0.0000,0.0000,0.3669,0.0242,0.0000,0.0000,110.9215,14.9104,0.0000,0.0000,83.7467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6902,0.2335,0.0000,0.0000,34.9543,1.4346,0.0000,0.0000,1.2066,0.0492,0.0000,0.0000,7.4118,0.3022,0.0000,0.0000
2025.50,205,'W337',351.9615,151.0669,7.9509,175.9808,5.2814,0.0000,0.0000,158.3827,1.3309,0.0000,0.0000,158.3827,1.3309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5196,0.0296,0.0000,0.0000,14.0785,0.1183,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.4130,1.9425,0.0000,0.0000,0.1040,0.0082,0.0000,0.0000,175.9808,5.2814,0.0000,0.0000,158.3827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7505,0.4074,0.0000,0.0000,121.3245,2.5023,0.0000,0.0000,2.2687,0.0476,0.0000,0.0000,13.9366,0.2922,0.0000,0.0000
2026.75,295,'C620',409.3499,104.5607,5.5032,221.5427,7.1556,0.0000,0.0000,93.9036,1.0388,0.0000,0.0000,93.9036,1.0388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.7807,0.2078,0.0000,0.0000,75.1229,0.8311,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.7196,3.1321,0.0000,0.0000,0.5291,0.0363,0.0000,0.0000,221.5427,7.1556,0.0000,0.0000,93.9036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2785,0.2725,0.0000,0.0000,75.4249,1.6737,0.0000,0.0000,2.7465,0.0609,0.0000,0.0000,16.8712,0.3740,0.0000,0.0000
2027.67,273,'SYBN106',266.8828,54.2344,2.8544,105.0230,14.5566,0.0000,0.0000,80.9299,2.7852,0.0000,0.0000,80.9299,2.7852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1860,0.5570,0.0000,0.0000,64.7439,2.2282,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7039,1.3168,0.0000,0.0000,0.0941,0.0067,0.0000,0.0000,105.0230,14.5566,0.0000,0.0000,80.9299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2326,0.2166,0.0000,0.0000,32.1429,1.3302,0.0000,0.0000,1.2622,0.0520,0.0000,0.0000,7.7537,0.3194,0.0000,0.0000
2028.50,205,'W337',440.9117,147.6127,7.7691,220.4559,6.3126,0.0000,0.0000,198.4103,1.5908,0.0000,0.0000,198.4103,1.5908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4091,0.0354,0.0000,0.0000,17.6365,0.1414,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9936,1.9335,0.0000,0.0000,0.1005,0.0092,0.0000,0.0000,220.4559,6.3126,0.0000,0.0000,198.4103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.1635,0.3955,0.0000,0.0000,117.7186,2.4296,0.0000,0.0000,2.3120,0.0486,0.0000,0.0000,14.2023,0.2985,0.0000,0.0000
2029.75,295,'C620',514.7565,118.2799,6.2253,283.1161,8.2713,0.0000,0.0000,115.8202,1.1580,0.0000,0.0000,115.8202,1.1580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.1640,0.2316,0.0000,0.0000,92.6562,0.9264,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.3986,4.0303,0.0000,0.0000,0.9459,0.0735,0.0000,0.0000,283.1161,8.2713,0.0000,0.0000,115.8202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.2142,0.3109,0.0000,0.0000,87.3156,1.9096,0.0000,0.0000,2.8161,0.0611,0.0000,0.0000,17.2987,0.3756,0.0000,0.0000
2030.67,273,'SYBN106',382.8867,54.1746,2.8513,153.1547,19.8355,0.0000,0.0000,114.8660,3.6837,0.0000,0.0000,114.8660,3.6837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.9732,0.7367,0.0000,0.0000,91.8928,2.9470,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4429,0.8279,0.0000,0.0000,0.4447,0.0267,0.0000,0.0000,153.1547,19.8355,0.0000,0.0000,114.8660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2394,0.2155,0.0000,0.0000,32.1851,1.3235,0.0000,0.0000,1.2702,0.0518,0.0000,0.0000,7.8024,0.3183,0.0000,0.0000
2031.50,205,'W337',285.1924,139.8575,7.3609,141.3877,4.4756,0.0000,0.0000,129.4242,1.1499,0.0000,0.0000,129.4242,1.1499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8761,0.0256,0.0000,0.0000,11.5044,0.1022,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4395,0.9332,0.0000,0.0000,0.0824,0.0062,0.0000,0.0000,141.3877,4.4756,0.0000,0.0000,129.4242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0118,0.3727,0.0000,0.0000,110.6437,2.2893,0.0000,0.0000,2.2741,0.0476,0.0000,0.0000,13.9695,0.2927,0.0000,0.0000
