    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1921.0000    1     7.80     2.80     0.00       0.4409       3.4351       4.8209      36.7439    2617.4465
 1921.0000    2     8.30     6.70     0.48       0.3652       3.5611       4.4605      30.4341    2182.1105
 1921.0000    3    14.40     8.30     1.83       0.3762      10.9848       4.5959      31.3526    4264.9916
 1921.0000    4    14.40    -8.30     1.14       0.3012       0.0000       1.8558      14.7431    1336.6115
 1921.0000    5     0.60    -8.90     0.00       0.2324       0.0000       1.6744       8.8537    1028.0973
 1921.0000    6    -1.70    -6.10     0.00       0.2016       0.0000       1.6502       6.3956     894.1539
 1921.0000    7    -2.20    -9.40     0.00       0.0778       0.0000       1.6260       6.3011     803.4243
 1921.0000    8    -0.60   -12.80     0.00       0.0775       0.0000       1.6063       6.2743     741.7522
 1921.0000    9     7.80    -3.90     0.00       0.0771       0.0808       1.6233       6.2476     741.0799
 1921.0000   10    14.40    -2.20     0.00       0.0768       0.0882       1.8747       6.2207     799.1635
 1921.0000   11    -1.70    -7.80     0.00       0.0765       0.0931       1.8520       6.1950     651.7984
 1921.0000   12     6.10    -5.60     0.00       0.0761       0.1043       2.0165       6.1696     647.1457
 1921.0000   13    15.00     2.20     3.38       0.0737       0.5740       4.1981       6.1405     776.6181
 1921.0000   14    11.10    -7.20     0.00       0.0734       0.5718       4.3724       6.1145     688.9017
 1921.0000   15     6.70    -7.20     0.51       0.0730       0.0000       3.0064       6.0856     656.5483
 1921.0000   16     8.30    -9.40     0.00       0.0727       0.2500       2.9930       6.0601     605.2766
 1921.0000   17     2.80   -10.00     0.00       0.0724       0.2974       3.0904       6.0353     553.5726
 1921.0000   18     3.30   -12.80     0.20       0.0721       0.1889       2.6074       6.0109     511.4523
 1921.0000   19    -5.60   -18.30     0.05       0.0718       0.0000       2.6308       5.9866     515.1563
 1921.0000   20    -3.90   -13.90     0.00       0.0716       0.1923       2.5494       5.9628     461.1396
 1921.0000   21     4.40    -8.30     0.00       0.0713       0.2293       2.7863       5.9391     480.9851
 1921.0000   22     2.80     0.00     0.00       0.0710       0.2552       2.9700       5.9151     524.6903
 1921.0000   23     1.10    -1.10     0.00       0.0707       0.2798       3.0493       5.8913     531.8633
 1921.0000   24    12.20    -2.20     0.89       0.0718       0.0000       1.5472       5.8654     543.9203
 1921.0000   25    18.90     3.90     0.69       0.0701       0.5457       3.9046       5.8378     681.7170
 1921.0000   26    16.10    -6.70     1.04       0.0697       0.5431       3.7845       5.8105     638.0851
