    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1989.0000    1    -0.10    -7.70     0.00       0.7155       0.0000       4.0143      24.7265    1212.0731
 1989.0000    2    -0.20    -8.50     0.00       0.5371       0.0000       4.3091      14.1023     925.1092
 1989.0000    3    -2.00    -9.30     0.13       0.5054       0.0000       4.5768      14.1049     800.1642
 1989.0000    4    -2.30   -17.90     0.00       0.4489       0.0000       4.8326      14.1020     704.1486
 1989.0000    5     0.60   -10.80     0.00       0.4501       0.0000       4.9076      14.0986     686.0489
 1989.0000    6    -0.80    -2.80     0.03       0.3421       0.0000       5.2338      14.0947     673.4589
 1989.0000    7    10.90    -2.00     1.70       0.2778       0.0000       5.5817      14.0959     678.0820
 1989.0000    8     4.30   -11.30     0.00       0.3441       0.0000       4.8742      14.0907     632.9882
 1989.0000    9    -5.80   -12.30     0.00       0.3328       0.0000       5.1094      14.0821     575.6010
 1989.0000   10     0.80    -7.60     0.00       0.3413       0.0000       5.0400      14.0748     583.6956
 1989.0000   11     1.90    -7.60     0.00       0.5322       0.0000       4.7160      14.0684     593.2444
 1989.0000   12     4.40    -5.60     0.03       0.3845       0.0000       4.1305      14.0627     596.0089
 1989.0000   13    -1.10    -7.50     0.00       0.3609       0.0000       4.3262      14.0557     572.9492
 1989.0000   14    -4.00    -8.40     0.03       0.2119       0.0000       4.4979      14.0480     555.4541
 1989.0000   15     0.70    -4.10     0.05       0.2098       0.0000       4.5559      14.0415     565.3936
 1989.0000   16     2.10    -4.90     0.00       0.2257       0.0000       4.1842      14.0352     564.7742
 1989.0000   17     3.10    -0.60     0.00       0.3602       0.0000       3.7486      14.0297     573.5513
 1989.0000   18     5.20    -1.30     0.00       0.4041       0.6821       3.8679      14.0271     609.7298
 1989.0000   19     7.80    -2.20     0.11       0.4059       0.6851       3.9091      14.0256     622.2274
 1989.0000   20    -0.30   -11.70     0.00       0.3714       0.6271       3.9823      14.0140     486.8129
 1989.0000   21    -1.40   -13.90     0.00       0.3112       0.5263       4.1327      13.9992     440.7991
 1989.0000   22     6.70    -4.30     0.00       0.2275       0.3868       4.5831      13.9913     522.4789
 1989.0000   23    10.30    -1.60     0.00       0.2082       0.3585       4.9896      13.9893     590.1110
 1989.0000   24     6.90    -1.30     0.00       0.2081       0.3646       5.2399      13.9874     585.9762
 1989.0000   25     3.50    -1.70     0.73       0.2110       0.0000       5.2990      13.9888     547.2813
 1989.0000   26     6.90    -2.70     0.00       0.3942       0.6655       4.1066      13.9871     581.4553
 1989.0000   27     4.40    -4.10     0.00       0.3437       0.5813       4.3177      13.9823     552.3823
 1989.0000   28     8.90    -1.50     0.20       0.3884       0.7456       4.2231      13.9822     605.9914
 1989.0000   29     3.70     1.00     0.56       0.4100       0.6920       3.5386      13.9890     609.7905
 1989.0000   30     2.10    -1.70     0.03       0.3823       0.6454       3.6312      13.9870     571.9009
 1989.0000   31    14.50    -0.20     0.00       0.3227       0.5453       4.0776      13.9956     697.6770
 1989.0834   32     9.40    -6.30     0.00       0.2484       0.4212       4.2456      16.7632     654.2171
 1989.0834   33    -6.10    -8.40     0.00       0.2250       0.3825       4.2026      16.7336     524.3080
 1989.0834   34    -5.00   -12.30     0.00       0.2224       0.3795       4.2518      16.7016     470.4611
 1989.0834   35    -8.90   -13.10     0.03       0.2239       0.0000       4.4119      16.6718     505.3149
 1989.0834   36    -6.90   -14.90     0.28       0.2238       0.0000       4.4869      16.6424     506.5256
 1989.0834   37    -9.30   -16.20     0.00       0.2233       0.0000       4.5409      16.6130     497.5322
 1989.0834   38    -8.10   -15.20     0.00       0.2230       0.0000       4.6068      16.5837     495.3712
 1989.0834   39    -7.00   -13.70     0.05       0.2229       0.0000       4.6740      16.5548     495.4431
 1989.0834   40   -10.20   -17.60     0.00       0.2221       0.0000       4.7077      16.5255     481.5568
 1989.0834   41    -4.90   -11.70     0.05       0.2225       0.0000       4.7948      16.4971     492.2779
 1989.0834   42    -0.80    -7.70     0.00       0.2230       0.0000       4.8789      16.4697     504.4751
 1989.0834   43     2.10    -7.90     0.00       0.2730       0.4710       4.6302      16.4418     488.7354
 1989.0834   44     1.20    -4.40     0.25       0.2921       0.0000       4.6557      16.4153     513.0368
 1989.0834   45     5.00    -2.70     0.00       0.3298       0.5633       4.5379      16.3915     550.8853
 1989.0834   46     0.10    -6.00     0.13       0.2808       0.0000       4.5507      16.3660     525.6873
 1989.0834   47    -1.90   -13.10     0.00       0.2376       0.0000       4.5740      16.3401     505.1387
 1989.0834   48    -3.90   -17.70     0.00       0.2174       0.3750       4.4463      16.3091     412.1203
 1989.0834   49    -0.70   -17.90     0.00       0.2164       0.3772       4.5628      16.2775     398.7211
 1989.0834   50     0.20    -9.20     0.00       0.2180       0.3852       4.8255      16.2483     431.5050
 1989.0834   51     0.90    -4.40     0.31       0.2199       0.0000       4.9743      16.2216     470.0241
 1989.0834   52    -0.60    -6.90     0.33       0.2200       0.0000       5.0283      16.1956     474.6963
 1989.0834   53    -1.60   -16.20     0.00       0.2193       0.0000       5.0452      16.1691     462.7130
 1989.0834   54    -8.40   -21.30     0.00       0.2181       0.0000       5.0427      16.1417     443.6406
 1989.0834   55    -3.30   -24.20     0.00       0.2177       0.0000       5.0787      16.1144     439.6946
 1989.0834   56     3.80    -5.00     0.00       0.2516       0.4304       4.5103      16.0897     477.8938
 1989.0834   57     2.00    -3.50     0.20       0.3522       0.5974       4.2593      16.0660     491.3172
 1989.0834   58     2.30   -10.40     0.10       0.3505       0.5942       4.1673      16.0399     455.9724
 1989.0834   59    -1.00   -12.70     0.00       0.2664       0.4533       4.2397      16.0119     421.8587
 1989.1666   60    -5.70   -14.80     0.00       0.2718       0.4643       4.2502      19.0926     349.0359
 1989.1666   61    -2.40   -15.50     0.05       0.2526       0.4325       4.2901      19.0357     345.2397
 1989.1666   62    -2.70    -8.40     0.05       0.2497       0.0000       4.4700      18.9805     389.1361
 1989.1666   63     6.10    -3.00     1.09       0.4704       0.0000       3.8307      18.9214     428.4610
 1989.1666   64    -1.40    -8.70     0.00       0.3698       0.0000       3.8575      18.8683     421.3707
 1989.1666   65    -4.90   -12.50     0.00       0.3628       0.0000       3.8878      18.8157     412.5883
 1989.1666   66    -5.90   -14.20     0.00       0.3531       0.0000       3.9253      18.7635     406.8610
 1989.1666   67     3.40   -16.10     0.00       0.4127       0.4166       3.0761      18.7115     387.3448
 1989.1666   68     7.90    -9.00     0.00       0.2941       0.4188       3.4270      18.6611     440.9080
 1989.1666   69     7.50    -3.70     0.00      55.7423      94.0907       3.7392      18.6131     485.6928
 1989.1666   70    11.00    -0.70     0.00      40.7951      68.9479       4.1448      18.2527     569.3019
 1989.1666   71     0.60    -4.10     0.00       0.2397       0.4061       4.1652      17.9773     473.9714
 1989.1666   72     6.50    -4.50     0.00      25.2212      43.0093       4.4740      17.9376     502.7629
 1989.1666   73    14.90    -2.50     0.53      53.4367      90.2032       3.9248      17.7581     651.5894
 1989.1666   74     7.00    -5.80     0.08      42.1170      71.1311       3.9558      17.4193     543.4662
 1989.1666   75     7.20    -5.60     0.00       0.3022       0.5120       4.2348      17.1482     535.1998
 1989.1666   76     1.10    -3.00     1.22       0.2282       0.0000       4.2194      17.1153     483.1983
 1989.1666   77    -2.30    -8.90     0.18       0.2272       0.0000       4.2352      17.0823     456.8798
 1989.1666   78     0.70   -12.60     0.41       0.2265       0.0000       4.2714      17.0490     445.9158
 1989.1666   79     1.60    -3.70     0.43       0.2266       0.0000       4.3340      17.0165     450.8918
 1989.1666   80     0.60    -9.60     0.00       0.2259       0.0000       4.3610      16.9837     440.4486
 1989.1666   81     4.20   -10.40     0.00       0.2406       0.0000       3.1045      16.9513     441.3725
 1989.1666   82    10.80    -5.30     0.00      53.2426      89.8680       2.7615      16.9247     539.8867
 1989.1666   83    17.90    -2.80     0.00      47.7370      80.6443       3.3011      16.6181     752.9202
 1989.1666   84    20.60     6.90     0.00      38.8928      66.1510       3.9067      41.3535    1241.7915
 1989.1666   85    23.00     4.90     0.00       0.8754       1.5244       4.5350      63.1246    1715.2524
 1989.1666   86    27.10    13.80     0.00       1.8442       3.3721       5.3266     132.7391    3649.4496
 1989.1666   87    19.30    12.50     2.67       1.7594       2.9699       3.3277     114.6758    3101.4079
 1989.1666   88    12.50     0.90     0.00       0.6800       1.1494       3.4834      44.6011    1282.7824
 1989.1666   89    10.20     0.90     0.00       0.4217       0.7157       3.6952      28.5163     982.5134
 1989.1666   90     4.40    -0.50     0.00       0.2462       0.4196       3.7510      15.6885     711.5748
 1989.2500   91     7.90    -2.10     0.00       0.2756       0.4748       4.0002      18.1041     719.9242
 1989.2500   92    11.90     6.50     1.14       0.6216       1.0493       3.0933      31.3117     981.3392
 1989.2500   93    10.80     6.70     2.29       0.6519       1.1004       3.0783      33.0861    1005.0635
 1989.2500   94    16.30     3.20     0.31       0.8830       1.4905       3.2319      51.0982    1292.7325
 1989.2500   95     3.90    -0.10     0.00       0.3452       0.5831       3.2125      17.9549     727.8268
 1989.2500   96     8.10    -1.50     0.00       0.2685       0.4545       3.4678      17.9535     726.8822
 1989.2500   97     6.50    -3.90     0.00       0.2624       0.4464       3.6526      17.9458     644.2968
 1989.2500   98     9.20    -4.00     0.00       0.2640       0.4543       3.9620      17.9400     667.9939
 1989.2500   99    -2.10    -7.90     0.08       0.2525       0.0000       3.8066      17.9214     507.6495
 1989.2500  100    -1.10    -9.10     0.00       0.2482       0.4297       3.8552      17.8984     452.9180
 1989.2500  101     6.70    -6.80     0.00       0.2521       0.4442       4.1901      17.8801     509.8298
 1989.2500  102     5.50    -2.10     0.36       0.2721       0.4643       3.6905      17.8650     538.5479
 1989.2500  103     9.10    -3.70     0.00       0.2581       0.4460       4.0132      17.8539     587.5900
 1989.2500  104    12.50     2.00     0.05       0.2750       0.4793       4.2742      18.2409     752.7232
 1989.2500  105    15.60     1.10     0.00       0.4387       0.7913       4.7708      30.8205     931.1213
 1989.2500  106    20.50     0.90     0.00       0.7711       1.4831       5.4386      56.0420    1341.0144
 1989.2500  107    16.70     2.00     0.13       0.7268       1.3962       5.4273      52.6231    1273.5683
 1989.2500  108     6.60    -0.60     0.00       0.2653       0.5213       5.3703      17.6892     698.6724
 1989.2500  109    12.80    -1.00     0.00       0.3511       0.7196       5.7741      24.3447     778.4477
 1989.2500  110    20.30     1.60     0.00       0.7167       1.5653       6.4306      51.9081    1241.7720
 1989.2500  111    17.50     6.30     0.00       0.7886       1.7637       6.7202      57.0480    1358.6256
 1989.2500  112    16.80     3.70     0.00       0.7227       1.6435       6.9250      52.1922    1247.1766
 1989.2500  113    15.90    -0.50     0.00       0.5715       1.3177       7.0570      41.1199    1001.4694
 1989.2500  114    22.40     1.90     0.00       0.9107       2.1717       7.5355      65.4085    1607.5352
 1989.2500  115    27.60    10.10     0.84       3.0080      13.6721       6.4391     211.8338    5242.8293
 1989.2500  116    24.20    12.50     0.00       2.9833       9.9219       6.9922     220.4355    4102.8133
 1989.2500  117    23.20    11.00     0.00       2.5838       6.3928       7.4566     190.1411    3590.9849
 1989.2500  118    11.30     7.20     0.00       1.0469       2.2751       7.1959      74.4331    1751.0232
 1989.2500  119    16.90     6.90     0.00       1.1812       2.6808       7.5292      83.7048    2008.9854
 1989.2500  120    14.40     5.30     0.00       0.8632       1.9992       7.5551      61.1461    1449.4582
 1989.3334  121    16.20     2.70     0.00       0.8739       2.0795       7.6946      63.1817    1286.9443
 1989.3334  122     9.10     2.70     0.56       0.6911       3.3241       6.6466      49.7511    1255.1600
 1989.3334  123    17.00     2.70     0.00       1.0695       3.7995       7.1925      79.9288    1553.6581
 1989.3334  124    19.40     6.80     0.11       1.5082       3.6630       7.3891     111.1940    2283.6924
 1989.3334  125    15.90     2.50     0.03       0.9242       2.0727       7.5179      67.2818    1434.8406
 1989.3334  126     6.50    -2.00     0.09       0.3334       0.7333       7.1175      23.4427     607.1182
 1989.3334  127     8.20    -3.70     0.00       0.2440       0.5528       7.1686      16.7916     495.5470
 1989.3334  128    16.20     0.00     0.00       0.4471       1.0609       7.5880      32.1213     714.9620
 1989.3334  129    16.90     6.60     0.00       0.6226       1.5039       7.8035      44.4812     997.8515
 1989.3334  130    17.40     1.90     0.00       0.5399       1.3343       7.8494      37.8963     883.1635
 1989.3334  131    16.40     2.70     0.00       0.5995       1.4874       7.8558      42.5435    1007.1999
 1989.3334  132    15.50     4.40     0.41       0.8116       2.2092       7.6318      56.3944    1335.9956
 1989.3334  133    14.70     2.30     0.08       0.6517       1.4629       7.6348      45.0808    1087.7775
 1989.3334  134    17.80     1.60     0.05       0.7070       1.6526       7.8117      48.4562    1215.4500
 1989.3334  135    17.20     3.40     0.43       1.0166       2.0890       7.4659      68.9520    1722.1475
 1989.3334  136    23.80     0.60     0.00       1.0704       2.5039       8.0037      72.4730    1851.0099
 1989.3334  137    26.90     1.30     0.13       1.2265       2.9308       8.1964      83.8858    1957.7537
 1989.3334  138    23.60    11.90     0.00       1.1339       2.8060       8.3557      77.3325    1652.9140
 1989.3334  139    20.80    14.30     1.07       2.7134       4.7361       6.9673     180.3962    3593.3051
 1989.3334  140    20.00    10.10     0.20       2.3060       4.0435       6.9141     155.2001    3418.5085
 1989.3334  141    24.70     9.20     0.03       2.3130       4.5996       7.7673     158.4219    3194.2898
 1989.3334  142    27.60     9.10     0.00       1.7234       3.9626       8.3963     118.4153    2297.0335
 1989.3334  143    26.20    11.60     0.00       1.3927       3.4120       8.5760      96.1839    1886.9215
 1989.3334  144    26.90    11.30     0.00       1.0076       2.5629       8.5637      67.1883    1330.9589
 1989.3334  145    24.20    14.80     2.93       3.4289       5.5401       4.3188     214.1038    3794.9413
 1989.3334  146    22.10    10.70     0.00       2.6670       4.3459       5.1027     175.9909    3622.0407
 1989.3334  147    16.50     6.30     0.00       1.7786       2.9779       5.6055     108.0944    3135.3414
