time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.25,97,'SORG99',0.1100,0.2683,0.0141,0.0000,0.0000,0.0000,0.0000,8.9982,0.0778,0.0000,0.0000,0.1070,0.0036,0.0000,0.0000,8.8912,0.0743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9982,0.0778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0356,0.0007,0.0000,0.0000,0.2187,0.0044,0.0000,0.0000,0.0030,0.0001,0.0000,0.0000,0.0184,0.0004,0.0000,0.0000
2022.75,287,'COT68',133.8737,24.4126,1.2849,46.6062,2.2436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4535,0.1272,0.0000,0.0000,69.8140,0.5087,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.7373,0.2980,0.0000,0.0000,0.3768,0.0169,0.0000,0.0000,46.6062,2.2436,0.0000,0.0000,8.9982,0.0778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8210,0.0588,0.0000,0.0000,17.3289,0.3613,0.0000,0.0000,0.6892,0.0148,0.0000,0.0000,4.2335,0.0909,0.0000,0.0000
2023.25,98,'RGA56',14.6653,11.2624,0.5928,0.0000,0.0000,0.0000,0.0000,22.5217,0.3727,0.0000,0.0000,13.7788,0.2977,0.0000,0.0000,8.7429,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2471,0.0834,0.0000,0.0000,0.0381,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.5217,0.3727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5493,0.0239,0.0000,0.0000,9.5170,0.1469,0.0000,0.0000,0.0971,0.0015,0.0000,0.0000,0.5964,0.0093,0.0000,0.0000
2023.83,306,'SORG99',135.3168,54.3055,2.8582,54.6326,1.8168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1368,0.1542,0.0000,0.0000,64.5473,0.6169,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.7864,0.4820,0.0000,0.0000,0.4562,0.0205,0.0000,0.0000,54.6326,1.8168,0.0000,0.0000,22.5217,0.3727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6061,0.1056,0.0000,0.0000,34.4375,0.6484,0.0000,0.0000,2.0934,0.0394,0.0000,0.0000,12.8592,0.2420,0.0000,0.0000
2024.25,97,'RGA56',5.4905,9.4548,0.4976,0.0000,0.0000,0.0000,0.0000,13.4013,0.1973,0.0000,0.0000,4.5610,0.1036,0.0000,0.0000,8.8403,0.0937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0084,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4013,0.1973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2980,0.0193,0.0000,0.0000,7.9733,0.1187,0.0000,0.0000,0.0841,0.0013,0.0000,0.0000,0.5164,0.0077,0.0000,0.0000
2024.75,287,'COT68',160.2784,44.0460,2.3182,42.3553,1.9035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.5846,0.1801,0.0000,0.0000,94.3385,0.7204,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4627,0.0357,0.0000,0.0000,0.0569,0.0025,0.0000,0.0000,42.3553,1.9035,0.0000,0.0000,13.4013,0.1973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7533,0.0927,0.0000,0.0000,29.1987,0.5696,0.0000,0.0000,1.5337,0.0301,0.0000,0.0000,9.4215,0.1850,0.0000,0.0000
2025.25,98,'RGA56',8.5315,6.1236,0.3223,0.0000,0.0000,0.0000,0.0000,19.3534,0.2722,0.0000,0.0000,7.6180,0.1718,0.0000,0.0000,11.7354,0.1004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3534,0.2722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8380,0.0128,0.0000,0.0000,5.1479,0.0784,0.0000,0.0000,0.0579,0.0009,0.0000,0.0000,0.3556,0.0055,0.0000,0.0000
2025.83,306,'SORG99',94.5916,31.6419,1.6654,35.5558,1.6866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8072,0.1607,0.0000,0.0000,47.2286,0.6426,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0096,0.0004,0.0000,0.0000,35.5558,1.6866,0.0000,0.0000,19.3534,0.2722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3679,0.0695,0.0000,0.0000,20.6884,0.4269,0.0000,0.0000,1.1363,0.0236,0.0000,0.0000,6.9800,0.1453,0.0000,0.0000
2026.25,97,'RGA56',15.1775,13.1709,0.6932,0.0000,0.0000,0.0000,0.0000,20.7276,0.4207,0.0000,0.0000,12.6256,0.2932,0.0000,0.0000,8.1021,0.1275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.7276,0.4207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7798,0.0290,0.0000,0.0000,10.9331,0.1781,0.0000,0.0000,0.1431,0.0023,0.0000,0.0000,0.8788,0.0144,0.0000,0.0000
2026.75,287,'COT68',119.1255,29.8061,1.5687,29.0332,1.7445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0185,0.1863,0.0000,0.0000,72.0738,0.7451,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0907,0.0040,0.0000,0.0000,29.0332,1.7445,0.0000,0.0000,20.7276,0.4207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2276,0.0674,0.0000,0.0000,19.8267,0.4141,0.0000,0.0000,1.0276,0.0217,0.0000,0.0000,6.3125,0.1334,0.0000,0.0000
