time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2003.25,97,'COT68',0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3905,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3905,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3905,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2003.58,227,'COT68',40.6887,18.1689,0.9563,12.9678,0.7640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5442,0.0522,0.0000,0.0000,22.1767,0.2086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,0.0008,0.0000,0.0000,12.9678,0.7640,0.0000,0.0000,1.3905,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1568,0.0403,0.0000,0.0000,13.2486,0.2478,0.0000,0.0000,0.4694,0.0086,0.0000,0.0000,2.8832,0.0526,0.0000,0.0000
2004.25,98,'RGA56',126.2489,66.2091,3.4847,0.0000,0.0000,0.0000,0.0000,127.9958,2.2929,0.0000,0.0000,120.0245,2.1707,0.0000,0.0000,7.9712,0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,127.9958,2.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0696,0.1739,0.0000,0.0000,55.7130,1.0681,0.0000,0.0000,0.6442,0.0123,0.0000,0.0000,3.9570,0.0754,0.0000,0.0000
2004.83,306,'SORG117',232.3692,69.7209,3.6695,139.4216,3.1665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.5895,0.1773,0.0000,0.0000,74.3582,0.7093,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1711,0.0074,0.0000,0.0000,139.4216,3.1665,0.0000,0.0000,127.9958,2.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6572,0.1477,0.0000,0.0000,47.0370,0.9075,0.0000,0.0000,2.2979,0.0446,0.0000,0.0000,14.1157,0.2738,0.0000,0.0000
2005.25,97,'RGA56',7.2207,6.7974,0.3578,0.0000,0.0000,0.0000,0.0000,16.3345,0.2314,0.0000,0.0000,6.2064,0.1269,0.0000,0.0000,10.1280,0.1045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3345,0.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9253,0.0127,0.0000,0.0000,5.6840,0.0782,0.0000,0.0000,0.0674,0.0009,0.0000,0.0000,0.4140,0.0057,0.0000,0.0000
2005.75,287,'COT68',142.9345,39.7658,2.0929,44.5427,2.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6784,0.1451,0.0000,0.0000,78.7134,0.5803,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,0.0003,0.0000,0.0000,44.5427,2.0345,0.0000,0.0000,16.3345,0.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1827,0.0838,0.0000,0.0000,25.6938,0.5147,0.0000,0.0000,1.4777,0.0300,0.0000,0.0000,9.0771,0.1842,0.0000,0.0000
2006.25,97,'RGA56',6.0413,7.8391,0.4126,0.0000,0.0000,0.0000,0.0000,15.4301,0.2189,0.0000,0.0000,5.5212,0.1376,0.0000,0.0000,9.9089,0.0812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4301,0.2189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0719,0.0180,0.0000,0.0000,6.5847,0.1105,0.0000,0.0000,0.0768,0.0013,0.0000,0.0000,0.4720,0.0081,0.0000,0.0000
2007.00,18,'SORG117',62.6625,19.6107,1.0321,34.8618,0.9820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5601,0.0647,0.0000,0.0000,22.2406,0.2587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.8618,0.9820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2599,0.0405,0.0000,0.0000,13.8825,0.2487,0.0000,0.0000,0.5274,0.0097,0.0000,0.0000,3.2400,0.0595,0.0000,0.0000
2007.25,97,'RGA56',3.2608,6.1630,0.3244,0.0000,0.0000,0.0000,0.0000,7.1422,0.1149,0.0000,0.0000,3.0349,0.0654,0.0000,0.0000,4.1073,0.0495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0262,0.0011,0.0000,0.0000,34.8618,0.9820,0.0000,0.0000,7.1422,0.1149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8453,0.0118,0.0000,0.0000,5.1924,0.0728,0.0000,0.0000,0.0592,0.0008,0.0000,0.0000,0.3639,0.0052,0.0000,0.0000
2007.75,297,'COT68',60.7454,16.2643,0.8560,21.0099,0.9106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9471,0.0524,0.0000,0.0000,31.7884,0.2095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1427,2.2974,0.0000,0.0000,0.2474,0.0099,0.0000,0.0000,55.8717,1.8926,0.0000,0.0000,7.1422,0.1149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8867,0.0334,0.0000,0.0000,11.5897,0.2051,0.0000,0.0000,0.4554,0.0081,0.0000,0.0000,2.7975,0.0497,0.0000,0.0000
2008.83,316,'COT68',108.0629,23.9729,1.2617,37.8220,1.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0482,0.0727,0.0000,0.0000,56.1927,0.2910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8247,1.4302,0.0000,0.0000,0.2264,0.0088,0.0000,0.0000,37.8220,1.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6613,0.0464,0.0000,0.0000,16.3482,0.2852,0.0000,0.0000,0.7625,0.0132,0.0000,0.0000,4.6839,0.0810,0.0000,0.0000
2009.83,315,'COT68',40.6308,11.4969,0.6051,12.3381,0.7216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6585,0.0540,0.0000,0.0000,22.6342,0.2160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.0017,0.0000,0.0000,0.0443,0.0017,0.0000,0.0000,12.3381,0.7216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1898,0.0224,0.0000,0.0000,7.3088,0.1379,0.0000,0.0000,0.4392,0.0084,0.0000,0.0000,2.6980,0.0517,0.0000,0.0000
