time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.83,323,'COT68',174.9128,26.7700,1.4089,61.2195,2.8736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.7387,0.1609,0.0000,0.0000,90.9547,0.6437,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.7055,0.5350,0.0000,0.0000,0.3601,0.0201,0.0000,0.0000,61.2195,2.8736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0316,0.0638,0.0000,0.0000,18.6225,0.3918,0.0000,0.0000,0.7971,0.0173,0.0000,0.0000,4.8964,0.1065,0.0000,0.0000
2023.83,315,'SORG99',135.8746,56.1642,2.9560,61.7262,2.0642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8297,0.1415,0.0000,0.0000,59.3188,0.5662,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.4689,0.9974,0.0000,0.0000,0.7532,0.0384,0.0000,0.0000,61.7262,2.0642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6517,0.1092,0.0000,0.0000,34.7177,0.6706,0.0000,0.0000,2.2815,0.0445,0.0000,0.0000,14.0149,0.2736,0.0000,0.0000
2024.83,323,'COT68',197.2537,52.4517,2.7606,54.3636,2.4141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.5780,0.2136,0.0000,0.0000,114.3121,0.8545,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8978,0.0816,0.0000,0.0000,0.2013,0.0131,0.0000,0.0000,54.3636,2.4141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6012,0.1124,0.0000,0.0000,34.4075,0.6905,0.0000,0.0000,1.8461,0.0374,0.0000,0.0000,11.3405,0.2299,0.0000,0.0000
2025.83,315,'SORG99',125.6917,37.2302,1.9595,46.5657,2.2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8252,0.2145,0.0000,0.0000,63.3008,0.8579,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0105,0.0005,0.0000,0.0000,46.5657,2.2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9785,0.0852,0.0000,0.0000,24.4394,0.5231,0.0000,0.0000,1.3182,0.0286,0.0000,0.0000,8.0976,0.1754,0.0000,0.0000
2026.83,323,'COT68',173.2458,37.7048,1.9845,48.4206,2.5590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.9650,0.2213,0.0000,0.0000,99.8602,0.8852,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5221,0.0314,0.0000,0.0000,48.4206,2.5590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0905,0.0880,0.0000,0.0000,25.1272,0.5407,0.0000,0.0000,1.2749,0.0276,0.0000,0.0000,7.8317,0.1697,0.0000,0.0000
2027.83,315,'SORG99',206.6107,69.5985,3.6631,101.1438,3.1876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0934,0.1872,0.0000,0.0000,84.3735,0.7487,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2147,0.0108,0.0000,0.0000,101.1438,3.1876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2733,0.1491,0.0000,0.0000,44.6791,0.9160,0.0000,0.0000,2.6000,0.0540,0.0000,0.0000,15.9715,0.3319,0.0000,0.0000
2028.83,323,'COT68',310.5838,70.4691,3.7089,108.7043,3.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.3759,0.1943,0.0000,0.0000,161.5036,0.7774,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2353,0.2175,0.0000,0.0000,0.4179,0.0238,0.0000,0.0000,108.7043,3.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6963,0.1484,0.0000,0.0000,47.2774,0.9118,0.0000,0.0000,2.3348,0.0456,0.0000,0.0000,14.3421,0.2799,0.0000,0.0000
2029.83,315,'SORG99',205.0484,64.0994,3.3737,102.5242,2.6794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.5048,0.1500,0.0000,0.0000,82.0194,0.6002,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6119,0.3702,0.0000,0.0000,0.4716,0.0223,0.0000,0.0000,102.5242,2.6794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.9438,0.1321,0.0000,0.0000,42.6549,0.8116,0.0000,0.0000,2.1845,0.0422,0.0000,0.0000,13.4189,0.2592,0.0000,0.0000
2030.83,323,'COT68',123.7859,25.1904,1.3258,34.7368,1.9833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8098,0.1704,0.0000,0.0000,71.2393,0.6815,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0125,0.0002,0.0000,0.0000,0.0027,0.0002,0.0000,0.0000,34.7368,1.9833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7005,0.0574,0.0000,0.0000,16.5887,0.3523,0.0000,0.0000,0.8824,0.0188,0.0000,0.0000,5.4206,0.1155,0.0000,0.0000
2031.83,315,'SORG99',164.2985,51.2649,2.6982,68.0202,2.7774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.2557,0.2259,0.0000,0.0000,77.0226,0.9036,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0639,0.0034,0.0000,0.0000,68.0202,2.7774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3377,0.1145,0.0000,0.0000,32.7888,0.7034,0.0000,0.0000,1.9316,0.0419,0.0000,0.0000,11.8657,0.2572,0.0000,0.0000
