    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1940.0000    1    17.80     4.40     0.00       0.4754       5.7984       8.6508      18.3443    2870.7546
 1940.0000    2    16.10     5.60     0.00       0.3141       3.8521       9.0281      12.0079    2011.4589
 1940.0000    3    20.00    10.00     0.00       0.3155       3.8884       9.7065      12.6048    1949.6208
 1940.0000    4    17.20   -15.00     0.00       0.1820       2.2532       8.7014      11.2252     561.7208
 1940.0000    5     0.60   -13.90     0.00       0.1661       2.0591       8.2695      11.0598     392.7294
 1940.0000    6     1.10   -11.70     0.00       0.1591       1.9754       8.2775      10.8573     336.7545
 1940.0000    7     8.30   -10.00     0.00       0.1530       1.9044       8.5429      10.6400     294.2882
 1940.0000    8     8.30    -8.30     0.00       0.1474       1.8392       8.7320      10.4244     257.6449
 1940.0000    9    14.40     0.00     0.00       0.1461       1.8284       9.5106      10.2142     270.7398
 1940.0000   10    20.00    -5.60     0.00       0.1376       1.7300       9.7017      10.0252     198.7621
 1940.0000   11    16.70     1.10     0.00       0.1352       1.7040      10.2315       9.8348     196.0887
 1940.0000   12    11.70     2.80     0.00       0.1328       1.6740      10.3770       9.6562     190.4468
 1940.0000   13    15.00     3.90     0.25       0.1885       2.9091       9.1427       9.5632     803.6693
 1940.0000   14    13.30    -3.90     0.33       0.2316       3.5193       7.2512       9.5380    1262.1233
 1940.0000   15    16.10    -1.70     0.00       0.2123       2.5963       7.9001       9.4739    1086.1649
 1940.0000   16    16.70    -6.70     0.00       0.1725       2.1267       8.1783       9.3573     670.5326
 1940.0000   17    13.30    -5.60     0.00       0.1530       1.8958       8.4645       9.2057     471.3790
 1940.0000   18    24.40     2.80     0.00       0.1446       1.8068       9.6880       9.0416     403.1503
 1940.0000   19    22.80    -6.70     0.00       0.1272       1.5982       9.6717       8.8783     229.2240
 1940.0000   20    11.10    -6.70     0.00       0.1213       1.5258       9.4575       8.7000     185.2973
 1940.0000   21    17.80    -3.90     0.00       0.1166       1.4718      10.0016       8.5049     158.6332
 1940.0000   22    26.10     2.20     0.00       0.1138       1.4438      10.9676       8.3199     151.7625
 1940.0000   23    24.40     5.60     0.00       0.1135       1.4417      11.4142       8.1546     168.7929
 1940.0000   24    26.10     6.70     0.00       0.1137       1.4440      11.7420       7.9968     188.9640
 1940.0000   25    25.00    10.00     0.00       0.1154       1.4672      12.0996       7.8456     225.8750
 1940.0000   26    22.80    -4.40     0.00       0.1051       1.3362      11.2817       7.6812     136.2944
 1940.0000   27    19.40    -8.30     0.00       0.1004       1.2772      10.8497       7.5134     107.6606
 1940.0000   28    16.10    -5.60     0.00       0.0978       1.2444      10.8087       7.3362     102.0572
 1940.0000   29    23.30    -3.30     0.00       0.0968       1.2320      11.1380       7.1589     113.1672
 1940.0000   30    18.90    -6.70     0.00       0.0935       1.1903      10.8324       6.9881      99.7335
 1940.0000   31     6.10    -6.70     0.00       0.0899       1.1438      10.3571       6.8089      83.6181
 1940.0834   32     2.80    -7.20     0.00       0.0962       1.2241      10.1039       7.3233      84.3423
 1940.0834   33    13.30    -5.60     0.00       0.0941       1.1976      10.4420       7.1039      92.0898
 1940.0834   34    13.30    -8.90     0.00       0.0912       1.1612      10.2531       6.9001      87.0187
 1940.0834   35    10.00    -7.80     0.00       0.0885       1.1265      10.1644       6.6898      84.3252
 1940.0834   36    22.80    -0.60     0.00       0.0887       1.1299      11.0357       6.4832     111.7153
 1940.0834   37    21.70     4.40     0.00       0.0892       1.1358      11.4768       6.3113     136.7045
 1940.0834   38    27.20     3.30     0.00       0.0895       1.1403      11.7558       6.1533     158.6159
 1940.0834   39    26.10     5.00     0.00       0.0898       1.1446      11.9700       6.0021     179.4859
 1940.0834   40    23.90    -5.60     0.00       0.0834       1.0623      11.3731       5.8455     132.6788
 1940.0834   41    12.80    -3.90     0.00       0.0794       1.0118      11.0048       5.6833     111.7885
 1940.0834   42    17.80    -0.60     0.18       0.0897       1.4175      10.7525       5.5317     234.3895
 1940.0834   43    17.80     1.10     0.00       0.0791       1.0072      11.3005       5.3741     145.8872
 1940.0834   44    20.00    -2.80     0.00       0.0761       0.9699      11.2697       5.2182     133.5950
 1940.0834   45     9.40   -10.00     0.00       0.0704       0.8975      10.4462       5.0589      95.5729
 1940.0834   46    13.30    -7.80     0.00       0.0687       0.8749      10.5753       4.8963      96.7245
 1940.0834   47    17.20    -5.00     0.00       0.0678       0.8639      10.8656       4.7399     106.0002
 1940.0834   48    20.60    -1.10     0.00       0.0680       0.8664      11.2744       4.5933     124.3524
 1940.0834   49    23.30     1.10     0.00       0.0686       0.8748      11.6126       4.4568     145.8778
 1940.0834   50    21.70    -1.10     0.00       0.0667       0.8508      11.5459       4.3249     142.3613
 1940.0834   51    17.80     0.00     0.00       0.0648       0.8264      11.4957       4.1955     138.3711
 1940.0834   52    20.00     3.30     0.00       0.0656       0.8368      11.8021       4.0725     159.6671
 1940.0834   53    23.90    -5.60     0.00       0.0623       0.7938      11.5451       3.9504     140.9364
 1940.0834   54    16.70    -3.30     0.00       0.0595       0.7591      11.3628       3.8289     128.4727
 1940.0834   55    24.40    -2.80     0.00       0.0602       0.7684      11.6948       3.7126     148.0376
 1940.0834   56    27.20    -0.60     0.00       0.0618       0.7883      11.9972       3.6045     174.4669
 1940.0834   57    24.40     1.70     0.00       0.0621       0.7923      12.1152       3.5016     188.3883
 1940.0834   58    26.70     4.40     0.00       0.0658       0.8393      12.4374       3.4081     232.7780
 1940.0834   59    24.40     5.60     0.00       0.0667       0.8503      12.5266       3.3188     250.2330
 1940.1666   60    20.00    -5.00     0.00       0.0709       0.9047      11.8435       4.5989     146.3007
 1940.1666   61     7.80     0.60     0.00       0.0658       0.8400      11.4597       4.4809     118.4460
 1940.1666   62    21.10    -2.80     0.00       0.0664       0.8479      11.8186       4.3639     137.6787
 1940.1666   63    23.90     1.10     0.00       0.0685       0.8744      12.1892       4.2548     170.0803
 1940.1666   64    24.40     3.30     0.00       0.0705       0.8996      12.4242       4.1512     200.5873
 1940.1666   65    26.70     3.90     0.00       0.0734       0.9371      12.6561       4.0526     239.6378
 1940.1666   66    25.60     1.10     0.00       0.0708       0.9042      12.5694       3.9517     225.5664
