    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 2003.0000    1    12.20    -0.60     0.00       0.1583       2.0593      12.4317      13.1952      52.7655
 2003.0000    2    11.70    -2.20     0.00       0.1577       2.0507      12.0637      13.1375      40.2680
 2003.0000    3    16.70    -2.20     0.00       0.1570       2.0420      12.0920      13.0802      39.4704
 2003.0000    4    17.20     0.60     0.00       0.1563       2.0333      12.2264      13.0230      41.7018
 2003.0000    5    17.20     0.00     0.00       0.1556       2.0246      12.1592      12.9661      40.2748
 2003.0000    6     9.40     0.00     0.00       0.1549       2.0159      11.7936      12.9095      33.9226
 2003.0000    7    15.00    -1.70     0.00       0.1542       2.0072      11.8051      12.8531      33.7004
 2003.0000    8    20.60     1.10     0.00       0.1536       1.9985      12.1857      12.7970      40.0466
 2003.0000    9    15.00     1.70     0.00       0.1529       1.9898      12.0446      12.7411      37.8438
 2003.0000   10     9.40    -2.80     0.00       0.1522       1.9812      11.4680      12.6854      29.6150
 2003.0000   11     8.30    -2.20     0.08       0.1516       1.9723      11.3269      12.6300      28.1016
 2003.0000   12     7.80    -0.60     0.03       0.1509       1.9634      11.3185      12.5749      28.1790
 2003.0000   13    13.30    -0.60     0.00       0.1502       1.9548      11.4951      12.5200      30.3304
 2003.0000   14    12.20    -0.60     0.00       0.1496       1.9462      11.4485      12.4653      30.1238
 2003.0000   15    15.00    -0.60     0.00       0.1489       1.9377      11.5614      12.4109      31.6258
 2003.0000   16     6.70    -3.90     0.00       0.1483       1.9292      10.9843      12.3567      25.8561
 2003.0000   17     6.10    -6.10     0.00       0.1476       1.9208      10.6874      12.3027      23.3852
 2003.0000   18    11.10    -5.60     0.00       0.1470       1.9124      10.8076      12.2490      24.1527
 2003.0000   19    18.30    -2.80     0.00       0.1463       1.9040      11.3063      12.1955      28.6601
 2003.0000   20    22.20     1.70     0.00       0.1457       1.8957      11.8616      12.1422      36.4680
