"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1850",NA,NA,NA,"72.4941","RothC","5_3","5","3",""
"1851",NA,NA,NA,"74.0192","RothC","5_3","5","3",""
"1852",NA,NA,NA,"71.7175","RothC","5_3","5","3",""
"1853",NA,NA,NA,"70.1243","RothC","5_3","5","3",""
"1854",NA,NA,NA,"68.8155","RothC","5_3","5","3",""
"1855",NA,NA,NA,"67.5982","RothC","5_3","5","3",""
"1856",NA,NA,NA,"66.536","RothC","5_3","5","3",""
"1857",NA,NA,NA,"65.4702","RothC","5_3","5","3",""
"1858",NA,NA,NA,"64.5977","RothC","5_3","5","3",""
"1859",NA,NA,NA,"63.7714","RothC","5_3","5","3",""
"1860",NA,NA,NA,"63.0905","RothC","5_3","5","3",""
"1861",NA,NA,NA,"62.3983","RothC","5_3","5","3",""
"1862",NA,NA,NA,"61.6874","RothC","5_3","5","3",""
"1863",NA,NA,NA,"61.1189","RothC","5_3","5","3",""
"1864",NA,NA,NA,"60.5022","RothC","5_3","5","3",""
"1865",NA,NA,NA,"59.891","RothC","5_3","5","3",""
"1866",NA,NA,NA,"59.3605","RothC","5_3","5","3",""
"1867",NA,NA,NA,"58.929","RothC","5_3","5","3",""
"1868",NA,NA,NA,"58.5041","RothC","5_3","5","3",""
"1869",NA,NA,NA,"58.0711","RothC","5_3","5","3",""
"1870",NA,NA,NA,"57.6149","RothC","5_3","5","3",""
"1871",NA,NA,NA,"57.2578","RothC","5_3","5","3",""
"1872",NA,NA,NA,"56.8682","RothC","5_3","5","3",""
"1873",NA,NA,NA,"56.4897","RothC","5_3","5","3",""
"1874",NA,NA,NA,"56.0486","RothC","5_3","5","3",""
"1875",NA,NA,NA,"55.5649","RothC","5_3","5","3",""
"1876",NA,NA,NA,"55.1419","RothC","5_3","5","3",""
"1877",NA,NA,NA,"54.7607","RothC","5_3","5","3",""
"1878",NA,NA,NA,"54.4547","RothC","5_3","5","3",""
"1879",NA,NA,NA,"54.0939","RothC","5_3","5","3",""
"1880",NA,NA,NA,"53.757","RothC","5_3","5","3",""
"1881",NA,NA,NA,"53.3346","RothC","5_3","5","3",""
"1882",NA,NA,NA,"52.9893","RothC","5_3","5","3",""
"1883",NA,NA,NA,"52.5808","RothC","5_3","5","3",""
"1884",NA,NA,NA,"52.2056","RothC","5_3","5","3",""
"1885",NA,NA,NA,"51.819","RothC","5_3","5","3",""
"1886",NA,NA,NA,"51.4389","RothC","5_3","5","3",""
"1887",NA,NA,NA,"51.1125","RothC","5_3","5","3",""
"1888",NA,NA,NA,"50.7506","RothC","5_3","5","3",""
"1889",NA,NA,NA,"50.3599","RothC","5_3","5","3",""
"1890",NA,NA,NA,"50.036","RothC","5_3","5","3",""
"1891",NA,NA,NA,"49.7039","RothC","5_3","5","3",""
"1892",NA,NA,NA,"49.3429","RothC","5_3","5","3",""
"1893",NA,NA,NA,"49.0045","RothC","5_3","5","3",""
"1894",NA,NA,NA,"48.6705","RothC","5_3","5","3",""
"1895",NA,NA,NA,"48.3341","RothC","5_3","5","3",""
"1896",NA,NA,NA,"47.9993","RothC","5_3","5","3",""
"1897",NA,NA,NA,"47.6641","RothC","5_3","5","3",""
"1898",NA,NA,NA,"47.3207","RothC","5_3","5","3",""
"1899",NA,NA,NA,"47.0028","RothC","5_3","5","3",""
"1900",NA,NA,NA,"46.7408","RothC","5_3","5","3",""
"1901",NA,NA,NA,"46.5043","RothC","5_3","5","3",""
"1902",NA,NA,NA,"46.2526","RothC","5_3","5","3",""
"1903",NA,NA,NA,"45.997","RothC","5_3","5","3",""
"1904",NA,NA,NA,"45.7528","RothC","5_3","5","3",""
"1905",NA,NA,NA,"45.5168","RothC","5_3","5","3",""
"1906",NA,NA,NA,"45.3168","RothC","5_3","5","3",""
"1907",NA,NA,NA,"45.073","RothC","5_3","5","3",""
"1908",NA,NA,NA,"44.8597","RothC","5_3","5","3",""
"1909",NA,NA,NA,"44.6091","RothC","5_3","5","3",""
"1910",NA,NA,NA,"44.3745","RothC","5_3","5","3",""
"1911",NA,NA,NA,"44.119","RothC","5_3","5","3",""
"1912",NA,NA,NA,"43.8934","RothC","5_3","5","3",""
"1913",NA,NA,NA,"43.6493","RothC","5_3","5","3",""
"1914",NA,NA,NA,"43.4081","RothC","5_3","5","3",""
"1915",NA,NA,NA,"43.2087","RothC","5_3","5","3",""
"1916",NA,NA,NA,"42.9871","RothC","5_3","5","3",""
"1917",NA,NA,NA,"42.7341","RothC","5_3","5","3",""
"1918",NA,NA,NA,"42.5305","RothC","5_3","5","3",""
"1919",NA,NA,NA,"42.323","RothC","5_3","5","3",""
"1920",NA,NA,NA,"42.0997","RothC","5_3","5","3",""
"1921",NA,NA,NA,"41.8876","RothC","5_3","5","3",""
"1922",NA,NA,NA,"41.6848","RothC","5_3","5","3",""
"1923",NA,NA,NA,"41.5031","RothC","5_3","5","3",""
"1924",NA,NA,NA,"41.2834","RothC","5_3","5","3",""
"1925",NA,NA,NA,"41.0873","RothC","5_3","5","3",""
"1926",NA,NA,NA,"40.87","RothC","5_3","5","3",""
"1927",NA,NA,NA,"40.6816","RothC","5_3","5","3",""
"1928",NA,NA,NA,"40.4628","RothC","5_3","5","3",""
"1929",NA,NA,NA,"40.2485","RothC","5_3","5","3",""
"1930",NA,NA,NA,"40.0835","RothC","5_3","5","3",""
"1931",NA,NA,NA,"39.9063","RothC","5_3","5","3",""
"1932",NA,NA,NA,"39.6788","RothC","5_3","5","3",""
"1933",NA,NA,NA,"39.5025","RothC","5_3","5","3",""
"1934",NA,NA,NA,"39.3181","RothC","5_3","5","3",""
"1935",NA,NA,NA,"39.1284","RothC","5_3","5","3",""
"1936",NA,NA,NA,"38.9412","RothC","5_3","5","3",""
"1937",NA,NA,NA,"38.7729","RothC","5_3","5","3",""
"1938",NA,NA,NA,"38.5877","RothC","5_3","5","3",""
"1939",NA,NA,NA,"38.3994","RothC","5_3","5","3",""
"1940",NA,NA,NA,"38.22","RothC","5_3","5","3",""
"1941",NA,NA,NA,"38.034","RothC","5_3","5","3",""
"1942",NA,NA,NA,"37.8506","RothC","5_3","5","3",""
"1943",NA,NA,NA,"37.7068","RothC","5_3","5","3",""
"1944",NA,NA,NA,"37.547","RothC","5_3","5","3",""
"1945",NA,NA,NA,"37.3497","RothC","5_3","5","3",""
"1946",NA,NA,NA,"37.1548","RothC","5_3","5","3",""
"1947",NA,NA,NA,"36.9797","RothC","5_3","5","3",""
"1948",NA,NA,NA,"36.805","RothC","5_3","5","3",""
"1949",NA,NA,NA,"36.6697","RothC","5_3","5","3",""
"1950",NA,NA,NA,"36.4953","RothC","5_3","5","3",""
"1951",NA,NA,NA,"36.256","RothC","5_3","5","3",""
"1952",NA,NA,NA,"36.2029","RothC","5_3","5","3",""
"1953",NA,NA,NA,"35.9563","RothC","5_3","5","3",""
"1954",NA,NA,NA,"35.8805","RothC","5_3","5","3",""
"1955",NA,NA,NA,"35.6496","RothC","5_3","5","3",""
"1956",NA,NA,NA,"35.5822","RothC","5_3","5","3",""
"1957",NA,NA,NA,"35.341","RothC","5_3","5","3",""
"1958",NA,NA,NA,"35.2457","RothC","5_3","5","3",""
"1959",NA,NA,NA,"35.0066","RothC","5_3","5","3",""
"1960",NA,NA,NA,"34.9587","RothC","5_3","5","3",""
"1961",NA,NA,NA,"34.7098","RothC","5_3","5","3",""
"1962",NA,NA,NA,"34.6628","RothC","5_3","5","3",""
"1963",NA,NA,NA,"34.4112","RothC","5_3","5","3",""
"1964",NA,NA,NA,"34.3441","RothC","5_3","5","3",""
"1965",NA,NA,NA,"34.0936","RothC","5_3","5","3",""
"1966",NA,NA,NA,"34.059","RothC","5_3","5","3",""
"1967",NA,NA,NA,"33.8119","RothC","5_3","5","3",""
"1968",NA,NA,NA,"33.7674","RothC","5_3","5","3",""
"1969",NA,NA,NA,"33.5309","RothC","5_3","5","3",""
"1970",NA,NA,NA,"33.4912","RothC","5_3","5","3",""
"1971",NA,NA,NA,"33.3586","RothC","5_3","5","3",""
"1972",NA,NA,NA,"33.3764","RothC","5_3","5","3",""
"1973",NA,NA,NA,"33.1924","RothC","5_3","5","3",""
"1974",NA,NA,NA,"33.1679","RothC","5_3","5","3",""
