"date","year","dayofyear","N2O_emit_gha","N2O_cum_gha","CH4_net_gha","CH4_cum_gha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989-01-01,1989,1,1.1726,1.1726,-0.980925,-0.980925,"Daycent","1_51",1,5,1
1989-01-02,1989,2,0.7957,1.9683,-1.069625,-2.05055,"Daycent","1_51",1,5,1
1989-01-03,1989,3,0.6169,2.5852,-1.143075,-3.193625,"Daycent","1_51",1,5,1
1989-01-04,1989,4,0.4581,3.0433,-1.211075,-4.4047,"Daycent","1_51",1,5,1
1989-01-05,1989,5,0.3095,3.3528,-1.228125,-5.632825,"Daycent","1_51",1,5,1
1989-01-06,1989,6,0.344,3.6968,-1.304475,-6.9373,"Daycent","1_51",1,5,1
1989-01-07,1989,7,0.2823,3.9791,-1.38305,-8.32035,"Daycent","1_51",1,5,1
1989-01-08,1989,8,0.3574,4.3365,-1.212875,-9.533225,"Daycent","1_51",1,5,1
1989-01-09,1989,9,0.3396,4.6761,-1.28055,-10.813775,"Daycent","1_51",1,5,1
1989-01-10,1989,10,0.3523,5.0284,-1.26395,-12.077725,"Daycent","1_51",1,5,1
1989-01-11,1989,11,0.4429,5.4713,-1.186525,-13.26425,"Daycent","1_51",1,5,1
1989-01-12,1989,12,0.3867,5.858,-1.04375,-14.308,"Daycent","1_51",1,5,1
1989-01-13,1989,13,0.3619,6.2199,-1.102325,-15.410325,"Daycent","1_51",1,5,1
1989-01-14,1989,14,0.2568,6.4767,-1.154425,-16.56475,"Daycent","1_51",1,5,1
1989-01-15,1989,15,0.2146,6.6913,-1.16885,-17.7336,"Daycent","1_51",1,5,1
1989-01-16,1989,16,0.2224,6.9137,-1.078575,-18.812175,"Daycent","1_51",1,5,1
1989-01-17,1989,17,0.2619,7.1756,-0.970825,-19.783,"Daycent","1_51",1,5,1
1989-01-18,1989,18,0.4148,7.5904,-0.97025,-20.75325,"Daycent","1_51",1,5,1
1989-01-19,1989,19,0.4149,8.0053,-0.98205,-21.7353,"Daycent","1_51",1,5,1
1989-01-20,1989,20,0.3771,8.3824,-1.019,-22.7543,"Daycent","1_51",1,5,1
1989-01-21,1989,21,0.3105,8.6929,-1.0651,-23.8194,"Daycent","1_51",1,5,1
1989-01-22,1989,22,0.2222,8.9151,-1.16415,-24.98355,"Daycent","1_51",1,5,1
