"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"APSIM",1,3,"1_3","1.95434343434346","-0.451733333333351","-0.402577777777797","3.9","18.07483","0.357360689655186",NA,NA,"43.8",NA,NA
"Daycent",1,3,"1_3","0.343852695847378","0.956597185185188","-0.599978814814811","-0.300000000000004","24.885378","-0.102428971034473","-9.77667015","0.0325555818007642","35.9",NA,NA
"RothC",1,3,"1_3",NA,NA,NA,"2.8869",NA,NA,NA,NA,"42.1788",NA,NA
"APSIM",1,41,"1_41","0.528945454545457","-0.0396666666666734","-0.219191919191934","5.5","34.36424","1.07200289655174",NA,NA,"42.7",NA,NA
"Daycent",1,41,"1_41","1.06964613243549","0.741920839506172","-0.683481382716053","-0.200000000000003","37.1853558","-0.451911798620684","-10.0769635","0.0386683712643662","37.4",NA,NA
"RothC",1,41,"1_41",NA,NA,NA,"-0.993699999999997",NA,NA,NA,NA,"32.0182",NA,NA
"APSIM",1,42,"1_42","0.643208080808087","-0.0398222222222291","-0.24515555555557","5.3","31.34203","0.955171172413815",NA,NA,"42.5",NA,NA
"Daycent",1,42,"1_42","0.973199928170615","0.741228098765426","-0.620104246913584","-0.300000000000004","35.188302","-0.455552808275854","-10.08057865","0.0387644565134083","37.3",NA,NA
"RothC",1,42,"1_42",NA,NA,NA,"-1.0808",NA,NA,NA,NA,"31.9311",NA,NA
"APSIM",1,43,"1_43","0.815167676767679","-0.0398222222222291","-0.270949494949512","5.09999999999999","28.80112","0.832160689655189",NA,NA,"42.3",NA,NA
"Daycent",1,43,"1_43","0.81311509764312","0.738879901234569","-0.565315506172844","-0.399999999999999","33.0978532","-0.460753951724138","-10.080089","0.0393671022988488","37.2",NA,NA
"RothC",1,43,"1_43",NA,NA,NA,"-1.1849",NA,NA,NA,NA,"31.827",NA,NA
"APSIM",1,44,"1_44","1.06880808080808","-0.0398222222222291","-0.304775757575772","4.8","26.78114","0.72357710344829",NA,NA,"42",NA,NA
"Daycent",1,44,"1_44","0.461012112233469","0.730788246913576","-0.508669432098763","-0.600000000000001","30.8811821","-0.450970339310337","-10.084158125","0.0387770570881212","37",NA,NA
"RothC",1,44,"1_44",NA,NA,NA,"-1.3253",NA,NA,NA,NA,"31.6866",NA,NA
"APSIM",1,51,"1_51","0.499022222222223","-0.04013333333334","-0.263482828282847","3.3","25.75788","0.789634620689663",NA,NA,"36",NA,NA
"Daycent",1,51,"1_51","0.839507753086437","0.896548592592595","-0.993834074074073","-1.8","41.7537681","-0.332913827586202","-10.43008935","0.0401187842911827","35.8",NA,NA
"RothC",1,51,"1_51",NA,NA,NA,"-1.3114",NA,NA,NA,NA,"31.7005",NA,NA
"APSIM",1,52,"1_52","0.493987878787891","-0.04013333333334","-0.26484040404042","4.2","29.40256","0.922413793103464",NA,NA,"38.6",NA,NA
"Daycent",1,52,"1_52","1.01491345454548","0.946883950617291","-0.835860493827163","-0.200000000000003","41.170158","-0.296428129655167","-10.3189918","0.039132019157084","37.4",NA,NA
"RothC",1,52,"1_52",NA,NA,NA,"-1.1221",NA,NA,NA,NA,"31.8898",NA,NA
"APSIM",1,53,"1_53","1.22181818181821","0.0536666666666643","-0.33113535353537","5.6","39.17077","1.19172000000003",NA,NA,"42.7",NA,NA
"Daycent",1,53,"1_53","1.08083808754211","0.901196938271596","-0.716740197530868","-0.100000000000001","38.622313","-0.435264433103443","-10.07496555","0.0385295614942511","37.5",NA,NA
"RothC",1,53,"1_53",NA,NA,NA,"-0.905699999999996",NA,NA,NA,NA,"32.1062",NA,NA
"APSIM",1,54,"1_54","0.42079191919192","0.0234888888888829","-0.177389898989913","2.8","26.41577","0.77523724137932",NA,NA,"40",NA,NA
"Daycent",1,54,"1_54","0.687165629629654","0.964512543209864","-0.755778074074072","2.9","37.4768589","-0.232810022068963","-12.002021675","0.037357719923365","47.9",NA,NA
"RothC",1,54,"1_54",NA,NA,NA,"-1.3603",NA,NA,NA,NA,"33.9941",NA,NA
"APSIM",1,55,"1_55","0.44573737373738","0.0242666666666604","-0.20725656565658","3.8","30.1031","0.936752275862091",NA,NA,"42.6",NA,NA
"Daycent",1,55,"1_55","0.825078231200926","0.938024197530851","-0.676810469135809","4.6","36.2678777","-0.247357241379308","-11.8438255","0.0393368507662799","49.6",NA,NA
"RothC",1,55,"1_55",NA,NA,NA,"-1.19269999999999",NA,NA,NA,NA,"34.1617",NA,NA
"APSIM",1,56,"1_56","1.20145454545457","0.122733333333333","-0.186836363636383","5.4","39.92417","1.18653986206898",NA,NA,"47.3",NA,NA
"Daycent",1,56,"1_56","0.885676516273882","0.887820888888882","-0.368906567901234","6.3","36.3599718","-0.203349369655168","-11.653033175","0.0413475940612993","51.3",NA,NA
"RothC",1,56,"1_56",NA,NA,NA,"-1.024",NA,NA,NA,NA,"34.3304",NA,NA
"APSIM",1,61,"1_61","1.2290585858586","0.051488888888886","-0.246343434343451","4.5","37.13133","1.20158055172417",NA,NA,"54.9",NA,NA
"APSIM",1,62,"1_62","1.22900202020205","0.0477555555555531","-0.224169696969714","3.7","36.22575","1.22387613793105",NA,NA,"64.9",NA,NA
"APSIM",1,63,"1_63","1.23177373737376","0.0429333333333322","-0.205559595959611","2.90000000000001","35.40979","1.22446206896553",NA,NA,"74.7",NA,NA
