"year","Observed","Obs_sd","APSIM","Daycent","crop","treatment_scen"
1990,4.546,1.29169253307434,5.629,3.15557777777778,"Maize","Cover Crop, Crop Rotation"
1993,5.049,0.669948256708432,6.533,5.51758888888889,"Maize","Cover Crop, Crop Rotation"
1996,4.178,0.489029651452752,4.233,3.86888444444444,"Maize","Cover Crop, Crop Rotation"
1999,4.414,0.320954647367298,6.313,4.29955111111111,"Maize","Cover Crop, Crop Rotation"
2002,6.472,0.895819615026746,4.13,4.32336,"Maize","Cover Crop, Crop Rotation"
2005,7.627,0.489972829518808,5.326,4.63578888888889,"Maize","Cover Crop, Crop Rotation"
2008,5.08,0.353644493806987,5.55,3.43826666666667,"Maize","Cover Crop, Crop Rotation"
2011,11.85,0.627287549427427,6.305,5.60907333333333,"Maize","Cover Crop, Crop Rotation"
2014,8.915,0.651878127924742,5.33,4.12055111111111,"Maize","Cover Crop, Crop Rotation"
2017,7.692,0.77829674974695,6.024,3.64452888888889,"Maize","Cover Crop, Crop Rotation"
2020,8.486,0.924560541374477,5.868,4.55791111111111,"Maize","Cover Crop, Crop Rotation"
1991,3.177,0.24718656921443,4.331,2.83124,"Soybean","Cover Crop, Crop Rotation"
1994,3.091,0.398587004303954,2.237,2.39797555555556,"Soybean","Cover Crop, Crop Rotation"
1997,1.814,0.177018139371836,2.162,2.27377333333333,"Soybean","Cover Crop, Crop Rotation"
2000,2.866,0.147769506326576,2.205,2.13468,"Soybean","Cover Crop, Crop Rotation"
2003,1.198,0.235701908491778,2.345,1.76990222222222,"Soybean","Cover Crop, Crop Rotation"
2006,3.205,0.143260248033663,2.369,2.09482222222222,"Soybean","Cover Crop, Crop Rotation"
2009,2.219,0.249690061209225,2.915,1.85847333333333,"Soybean","Cover Crop, Crop Rotation"
2012,1.405,0.17434928926344,2.2,1.25273555555556,"Soybean","Cover Crop, Crop Rotation"
2015,4.154,0.168639580170255,3.758,3.75264,"Soybean","Cover Crop, Crop Rotation"
2018,3.617,0.187542223690204,0.46,3.49496222222222,"Soybean","Cover Crop, Crop Rotation"
2021,4.094,0.286698698985538,2.97,3.08467777777778,"Soybean","Cover Crop, Crop Rotation"
1989,1.993,0.583001000570897,NA,NA,"Wheat","Cover Crop, Crop Rotation"
1992,2.283,0.58560384789264,0.969,1.67473333333333,"Wheat","Cover Crop, Crop Rotation"
1995,3.177,0.097616878663477,2.83,3.50957333333333,"Wheat","Cover Crop, Crop Rotation"
1998,2.209,0.155551068784499,2.557,2.06930666666667,"Wheat","Cover Crop, Crop Rotation"
2001,3.676,0.182797654981312,4.219,2.24472222222222,"Wheat","Cover Crop, Crop Rotation"
2004,3.847,0.166491701494899,3.517,3.75379111111111,"Wheat","Cover Crop, Crop Rotation"
2007,2.54,0.0817207052506686,3.182,3.05855555555556,"Wheat","Cover Crop, Crop Rotation"
2010,3.12,0.398985269987084,3.814,4.98126,"Wheat","Cover Crop, Crop Rotation"
2013,3.319,0.288822159814651,2.87,2.35127333333333,"Wheat","Cover Crop, Crop Rotation"
2016,5.137,0.259653772679441,5.102,4.52435555555556,"Wheat","Cover Crop, Crop Rotation"
2019,4.814,0.179026981206744,4.591,5.24997111111111,"Wheat","Cover Crop, Crop Rotation"
1989,7.906,1.07450405614249,6.731,7.28939111111111,"Maize","Rmv Resid 0%, Crop Rotation"
1991,8.326,1.06759964406139,7.618,5.87963777777778,"Maize","Rmv Resid 0%, Crop Rotation"
1993,7.113,0.862294915714262,7.918,6.44519111111111,"Maize","Rmv Resid 0%, Crop Rotation"
1996,3.201,1.11360669298755,6.984,4.66414888888889,"Maize","Rmv Resid 0%, Crop Rotation"
1999,4.013,0.482018466105466,6.877,3.46094222222222,"Maize","Rmv Resid 0%, Crop Rotation"
2002,5.398,1.43045399320169,6.074,6.91992,"Maize","Rmv Resid 0%, Crop Rotation"
