"year","Obs_sd","crop","treatment_scen","Model","yield_val"
1990,1.29169253307434,"Maize","Cover Crop, Crop Rotation","Observed",4.546
1990,NA,"Maize","Cover Crop, Crop Rotation","APSIM",5.629
1990,NA,"Maize","Cover Crop, Crop Rotation","Daycent",3.15557777777778
1993,0.669948256708432,"Maize","Cover Crop, Crop Rotation","Observed",5.049
1993,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.533
1993,NA,"Maize","Cover Crop, Crop Rotation","Daycent",5.51758888888889
1996,0.489029651452752,"Maize","Cover Crop, Crop Rotation","Observed",4.178
1996,NA,"Maize","Cover Crop, Crop Rotation","APSIM",4.233
1996,NA,"Maize","Cover Crop, Crop Rotation","Daycent",3.86888444444444
1999,0.320954647367298,"Maize","Cover Crop, Crop Rotation","Observed",4.414
1999,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.313
1999,NA,"Maize","Cover Crop, Crop Rotation","Daycent",4.29955111111111
2002,0.895819615026746,"Maize","Cover Crop, Crop Rotation","Observed",6.472
2002,NA,"Maize","Cover Crop, Crop Rotation","APSIM",4.13
2002,NA,"Maize","Cover Crop, Crop Rotation","Daycent",4.32336
2005,0.489972829518808,"Maize","Cover Crop, Crop Rotation","Observed",7.627
2005,NA,"Maize","Cover Crop, Crop Rotation","APSIM",5.326
2005,NA,"Maize","Cover Crop, Crop Rotation","Daycent",4.63578888888889
2008,0.353644493806987,"Maize","Cover Crop, Crop Rotation","Observed",5.08
2008,NA,"Maize","Cover Crop, Crop Rotation","APSIM",5.55
2008,NA,"Maize","Cover Crop, Crop Rotation","Daycent",3.43826666666667
2011,0.627287549427427,"Maize","Cover Crop, Crop Rotation","Observed",11.85
2011,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.305
2011,NA,"Maize","Cover Crop, Crop Rotation","Daycent",5.60907333333333
2014,0.651878127924742,"Maize","Cover Crop, Crop Rotation","Observed",8.915
2014,NA,"Maize","Cover Crop, Crop Rotation","APSIM",5.33
2014,NA,"Maize","Cover Crop, Crop Rotation","Daycent",4.12055111111111
2017,0.77829674974695,"Maize","Cover Crop, Crop Rotation","Observed",7.692
2017,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.024
2017,NA,"Maize","Cover Crop, Crop Rotation","Daycent",3.64452888888889
2020,0.924560541374477,"Maize","Cover Crop, Crop Rotation","Observed",8.486
2020,NA,"Maize","Cover Crop, Crop Rotation","APSIM",5.868
2020,NA,"Maize","Cover Crop, Crop Rotation","Daycent",4.55791111111111
1991,0.24718656921443,"Soybean","Cover Crop, Crop Rotation","Observed",3.177
1991,NA,"Soybean","Cover Crop, Crop Rotation","APSIM",4.331
1991,NA,"Soybean","Cover Crop, Crop Rotation","Daycent",2.83124
1994,0.398587004303954,"Soybean","Cover Crop, Crop Rotation","Observed",3.091
1994,NA,"Soybean","Cover Crop, Crop Rotation","APSIM",2.237
1994,NA,"Soybean","Cover Crop, Crop Rotation","Daycent",2.39797555555556
1997,0.177018139371836,"Soybean","Cover Crop, Crop Rotation","Observed",1.814
1997,NA,"Soybean","Cover Crop, Crop Rotation","APSIM",2.162
1997,NA,"Soybean","Cover Crop, Crop Rotation","Daycent",2.27377333333333
2000,0.147769506326576,"Soybean","Cover Crop, Crop Rotation","Observed",2.866
2000,NA,"Soybean","Cover Crop, Crop Rotation","APSIM",2.205
2000,NA,"Soybean","Cover Crop, Crop Rotation","Daycent",2.13468
2003,0.235701908491778,"Soybean","Cover Crop, Crop Rotation","Observed",1.198
2003,NA,"Soybean","Cover Crop, Crop Rotation","APSIM",2.345
2003,NA,"Soybean","Cover Crop, Crop Rotation","Daycent",1.76990222222222
2006,0.143260248033663,"Soybean","Cover Crop, Crop Rotation","Observed",3.205
2006,NA,"Soybean","Cover Crop, Crop Rotation","APSIM",2.369
2006,NA,"Soybean","Cover Crop, Crop Rotation","Daycent",2.09482222222222
2009,0.249690061209225,"Soybean","Cover Crop, Crop Rotation","Observed",2.219
2009,NA,"Soybean","Cover Crop, Crop Rotation","APSIM",2.915
2009,NA,"Soybean","Cover Crop, Crop Rotation","Daycent",1.85847333333333
