"year","Obs_sd","treatment_scen","Model","C_val"
1989,4.33021208102636,"Cover Crop, Crop Rotation","Observed",35.2116666666667
1989,NA,"Cover Crop, Crop Rotation","APSIM",33.4
1989,NA,"Cover Crop, Crop Rotation","Daycent",31.5
1989,NA,"Cover Crop, Crop Rotation","RothC",31.8593
1990,NA,"Cover Crop, Crop Rotation","Observed",NA
1990,NA,"Cover Crop, Crop Rotation","APSIM",33.2
1990,NA,"Cover Crop, Crop Rotation","Daycent",31.4
1990,NA,"Cover Crop, Crop Rotation","RothC",31.3988
1991,4.4384580655899,"Cover Crop, Crop Rotation","Observed",32.745
1991,NA,"Cover Crop, Crop Rotation","APSIM",33.2
1991,NA,"Cover Crop, Crop Rotation","Daycent",31.6
1991,NA,"Cover Crop, Crop Rotation","RothC",31.9056
1992,4.46919567707658,"Cover Crop, Crop Rotation","Observed",33.855
1992,NA,"Cover Crop, Crop Rotation","APSIM",34.5
1992,NA,"Cover Crop, Crop Rotation","Daycent",31.8
1992,NA,"Cover Crop, Crop Rotation","RothC",32.5215
1993,1.33747024889029,"Cover Crop, Crop Rotation","Observed",9.86666666666667
1993,NA,"Cover Crop, Crop Rotation","APSIM",34.2
1993,NA,"Cover Crop, Crop Rotation","Daycent",32
1993,NA,"Cover Crop, Crop Rotation","RothC",32.2444
1994,7.25583742008231,"Cover Crop, Crop Rotation","Observed",32.9916666666667
1994,NA,"Cover Crop, Crop Rotation","APSIM",34.3
1994,NA,"Cover Crop, Crop Rotation","Daycent",32.7
1994,NA,"Cover Crop, Crop Rotation","RothC",32.9747
1995,4.52349275081399,"Cover Crop, Crop Rotation","Observed",36.5066666666667
1995,NA,"Cover Crop, Crop Rotation","APSIM",34.7
1995,NA,"Cover Crop, Crop Rotation","Daycent",33.4
1995,NA,"Cover Crop, Crop Rotation","RothC",33.7376
1996,4.00842820400549,"Cover Crop, Crop Rotation","Observed",32.1283333333333
1996,NA,"Cover Crop, Crop Rotation","APSIM",34.7
1996,NA,"Cover Crop, Crop Rotation","Daycent",33.9
1996,NA,"Cover Crop, Crop Rotation","RothC",33.484
1997,4.86799650780483,"Cover Crop, Crop Rotation","Observed",33.115
1997,NA,"Cover Crop, Crop Rotation","APSIM",34.8
1997,NA,"Cover Crop, Crop Rotation","Daycent",33.7
1997,NA,"Cover Crop, Crop Rotation","RothC",34.1869
1998,16.4962194658857,"Cover Crop, Crop Rotation","Observed",61.1116666666667
1998,NA,"Cover Crop, Crop Rotation","APSIM",35.6
1998,NA,"Cover Crop, Crop Rotation","Daycent",33.9
1998,NA,"Cover Crop, Crop Rotation","RothC",34.6748
1999,4.21648510808074,"Cover Crop, Crop Rotation","Observed",33.1766666666667
1999,NA,"Cover Crop, Crop Rotation","APSIM",35.3
1999,NA,"Cover Crop, Crop Rotation","Daycent",34.1
1999,NA,"Cover Crop, Crop Rotation","RothC",34.8514
2000,3.46893499506693,"Cover Crop, Crop Rotation","Observed",35.705
2000,NA,"Cover Crop, Crop Rotation","APSIM",35.6
2000,NA,"Cover Crop, Crop Rotation","Daycent",34.4
2000,NA,"Cover Crop, Crop Rotation","RothC",35.1301
2001,4.0508945514129,"Cover Crop, Crop Rotation","Observed",35.0266666666667
2001,NA,"Cover Crop, Crop Rotation","APSIM",36.1
2001,NA,"Cover Crop, Crop Rotation","Daycent",34.3
2001,NA,"Cover Crop, Crop Rotation","RothC",35.6426
2002,NA,"Cover Crop, Crop Rotation","Observed",NA
2002,NA,"Cover Crop, Crop Rotation","APSIM",36.2
2002,NA,"Cover Crop, Crop Rotation","Daycent",34.6
2002,NA,"Cover Crop, Crop Rotation","RothC",36.2844
2003,NA,"Cover Crop, Crop Rotation","Observed",NA
2003,NA,"Cover Crop, Crop Rotation","APSIM",36.3
2003,NA,"Cover Crop, Crop Rotation","Daycent",34.7
2003,NA,"Cover Crop, Crop Rotation","RothC",36.2102
2004,NA,"Cover Crop, Crop Rotation","Observed",NA
2004,NA,"Cover Crop, Crop Rotation","APSIM",36.8
2004,NA,"Cover Crop, Crop Rotation","Daycent",34.7
2004,NA,"Cover Crop, Crop Rotation","RothC",36.5826
2005,NA,"Cover Crop, Crop Rotation","Observed",NA
2005,NA,"Cover Crop, Crop Rotation","APSIM",36.7
2005,NA,"Cover Crop, Crop Rotation","Daycent",35
2005,NA,"Cover Crop, Crop Rotation","RothC",36.5228
2006,NA,"Cover Crop, Crop Rotation","Observed",NA
2006,NA,"Cover Crop, Crop Rotation","APSIM",36.9
2006,NA,"Cover Crop, Crop Rotation","Daycent",35.6
2006,NA,"Cover Crop, Crop Rotation","RothC",37.6055
2007,NA,"Cover Crop, Crop Rotation","Observed",NA
2007,NA,"Cover Crop, Crop Rotation","APSIM",37.2
2007,NA,"Cover Crop, Crop Rotation","Daycent",35.7
2007,NA,"Cover Crop, Crop Rotation","RothC",38.2747
2008,NA,"Cover Crop, Crop Rotation","Observed",NA
2008,NA,"Cover Crop, Crop Rotation","APSIM",37.2
2008,NA,"Cover Crop, Crop Rotation","Daycent",35.9
2008,NA,"Cover Crop, Crop Rotation","RothC",38.4391
2009,NA,"Cover Crop, Crop Rotation","Observed",NA
2009,NA,"Cover Crop, Crop Rotation","APSIM",37.3
2009,NA,"Cover Crop, Crop Rotation","Daycent",35.8
2009,NA,"Cover Crop, Crop Rotation","RothC",37.6171
