"year","Obs_sd","treatment_scen","Model","Fit","value"
1989,4.33021208102636,"Cover Crop, Crop Rotation","Observed","AllObs",35.2116666666667
1989,4.33021208102636,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",35.2116666666667
1990,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
1990,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
1991,4.4384580655899,"Cover Crop, Crop Rotation","Observed","AllObs",32.745
1991,4.4384580655899,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",32.745
1992,4.46919567707658,"Cover Crop, Crop Rotation","Observed","AllObs",33.855
1992,4.46919567707658,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",33.855
1993,1.33747024889029,"Cover Crop, Crop Rotation","Observed","AllObs",9.86666666666667
1993,1.33747024889029,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
1994,7.25583742008231,"Cover Crop, Crop Rotation","Observed","AllObs",32.9916666666667
1994,7.25583742008231,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",32.9916666666667
1995,4.52349275081399,"Cover Crop, Crop Rotation","Observed","AllObs",36.5066666666667
1995,4.52349275081399,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",36.5066666666667
1996,4.00842820400549,"Cover Crop, Crop Rotation","Observed","AllObs",32.1283333333333
1996,4.00842820400549,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",32.1283333333333
1997,4.86799650780483,"Cover Crop, Crop Rotation","Observed","AllObs",33.115
1997,4.86799650780483,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",33.115
1998,16.4962194658857,"Cover Crop, Crop Rotation","Observed","AllObs",61.1116666666667
1998,16.4962194658857,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
1999,4.21648510808074,"Cover Crop, Crop Rotation","Observed","AllObs",33.1766666666667
1999,4.21648510808074,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",33.1766666666667
2000,3.46893499506693,"Cover Crop, Crop Rotation","Observed","AllObs",35.705
2000,3.46893499506693,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",35.705
2001,4.0508945514129,"Cover Crop, Crop Rotation","Observed","AllObs",35.0266666666667
2001,4.0508945514129,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",35.0266666666667
2002,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2002,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2003,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2003,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2004,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2004,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2005,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2005,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2006,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2006,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2007,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2007,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2008,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2008,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2009,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2009,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2010,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2010,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2011,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2011,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2012,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2012,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2013,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2013,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2014,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2014,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2015,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2015,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2016,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2016,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2017,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2017,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2018,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2018,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2019,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2019,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2020,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2020,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
2021,NA,"Cover Crop, Crop Rotation","Observed","AllObs",NA
2021,NA,"Cover Crop, Crop Rotation","Observed","OutlierRemoved",NA
1989,7.63912649074923,"Rmv Resid 0%, Crop Rotation","Observed","AllObs",33.4629166666667
1989,7.63912649074923,"Rmv Resid 0%, Crop Rotation","Observed","OutlierRemoved",33.4629166666667
1990,NA,"Rmv Resid 0%, Crop Rotation","Observed","AllObs",NA
1990,NA,"Rmv Resid 0%, Crop Rotation","Observed","OutlierRemoved",NA
