"Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_MaizeYld_Mgha","mean_SoyYld_Mgha","mean_WheatYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_MaizeYld_Mgha","sd_SoyYld_Mgha","sd_WheatYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
1,3,"1_3",1.1491,0.25243,-0.50128,2.1623,0.02148,-0.00978,-7.92843,9.21496,-0.35196,0.93457,1.13879,0.99584,0.13958,2.19175,0.00341,0,8.03643,1.46086,0,9.4454,"CC-CR"
1,41,"1_41",0.7993,0.35113,-0.45134,1.43543,0.03577,-0.01008,-5.26326,15.34739,-0.36277,9.72136,0.38233,0.55267,0.3283,3.54232,0.00141,0,12.9885,0.60513,0,13.48015,"RF05-CR"
1,42,"1_42",0.8082,0.3507,-0.43263,1.3064,0.03327,-0.01008,-4.79013,14.27076,-0.3629,9.11772,0.23334,0.55229,0.26513,3.48052,0.00192,0,12.76192,0.82503,0,13.43457,"RF15-CR"
1,43,"1_43",0.81414,0.34953,-0.41813,1.1717,0.03095,-0.01008,-4.29623,13.27733,-0.36288,8.61821,0.00145,0.55063,0.20815,3.42457,0.00215,0,12.55675,0.92165,0,13.3082,"RF25-CR"
1,44,"1_44",0.76491,0.34548,-0.40672,0.95823,0.02883,-0.01008,-3.51352,12.36857,-0.36303,8.49202,0.42978,0.5449,0.14417,3.34677,0.00205,0,12.2715,0.87946,0,12.9914,"RF35-CR"
1,51,"1_51",0.66926,0.42821,-0.62866,0.06287,0.03376,-0.01043,-0.23051,14.48125,-0.37548,13.87525,0.24076,0.66233,0.51644,2.81406,0.008,0,10.31823,3.43112,0,13.50557,"RR50-CR"
1,52,"1_52",0.75445,0.45338,-0.55035,0.9593,0.03529,-0.01032,-3.51743,15.13785,-0.37148,11.24893,0.36835,0.69793,0.40377,2.84415,0.00588,0,10.42854,2.52415,0,12.48394,"RR25-CR"
1,53,"1_53",1.15133,0.47743,-0.52394,1.53143,0.0389,-0.01007,-5.61526,16.68662,-0.3627,10.70866,0.09969,0.59929,0.27266,3.54644,0.00027,0,13.0036,0.11764,0,12.90925,"RR00-CR"
1,54,"1_54",0.55398,0.494,-0.46658,1.44657,0.03195,-0.012,-5.30408,13.70497,-0.43207,7.96882,0.18835,0.6654,0.40898,2.43133,0.00553,0,8.91488,2.3726,0,9.17793,"RR50-NT-CR"
1,55,"1_55",0.63541,0.48115,-0.44203,2.40243,0.03319,-0.01184,-8.80892,14.23657,-0.42638,5.00127,0.26823,0.64612,0.33202,3.13907,0.00308,0,11.50991,1.32234,0,11.41699,"RR25-NT-CR"
1,56,"1_56",1.04357,0.50528,-0.27787,3.55867,0.03814,-0.01165,-13.04844,16.36295,-0.41951,2.89499,0.22329,0.541,0.12874,3.99414,0.00178,0,14.64517,0.76452,0,14.75088,"RR00-NT-CR"
1,61,"1_61",1.22906,0.05149,-0.24634,4.5,0.03713,NA,-16.5,15.92934,NA,-0.57066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
1,62,"1_62",1.229,0.04776,-0.22417,3.7,0.03623,NA,-13.56667,15.54085,NA,1.97418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
1,63,"1_63",1.23177,0.04293,-0.20556,2.9,0.03541,NA,-10.63333,15.1908,NA,4.55747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
1,64,"1_64",1.22866,0.03827,-0.18978,2.1,0.03471,NA,-7.7,14.89072,NA,7.19072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
1,65,"1_65",1.22103,0.03469,-0.17592,1.5,0.03406,NA,-5.5,14.61194,NA,9.11194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
5,3,"5_3",-2.4402,0.10801,0.37785,-0.0431,0.02364,-0.00983,0.15803,10.14085,-0.35374,9.94514,0.04947,0.36203,1.11714,2.37368,0.00164,0,8.7035,0.70561,0,9.40259,"CC-CR"
5,41,"5_41",-4.53996,0.14685,0.33005,-0.42637,0.03931,-0.01021,1.56334,16.86604,-0.36747,18.06192,2.33767,0.44107,1.67526,3.48973,0.00304,0,12.79567,1.30564,0,11.71275,"RF05-CR"
5,42,"5_42",-4.54167,0.14576,0.29011,-0.51333,0.03668,-0.01021,1.88222,15.7375,-0.36759,17.25213,2.31825,0.44349,1.67062,3.47772,0.00241,0,12.75164,1.03347,0,11.88759,"RF15-CR"
5,43,"5_43",-4.53157,0.1434,0.26336,-0.63513,0.03427,-0.01021,2.32882,14.70321,-0.36768,16.66435,2.27991,0.44683,1.64535,3.40947,0.00197,0,12.5014,0.84562,0,11.79053,"RF25-CR"
