"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"APSIM",1,3,"1_3",1.95434343434346,-0.451733333333351,-0.402577777777797,3.9,18.07483,0.357360689655186,-9.77667015,NA,43.8,NA,NA,0.01807483,-0.00977667015,-14.3,7.75410207,-0.3519601254,"CC-CR",-6.8978580554
"Daycent",1,3,"1_3",0.343852695847378,0.956597185185188,-0.599978814814811,-0.300000000000004,24.885378,-0.102428971034473,-9.77667015,0.0325555818007642,35.9,NA,NA,0.024885378,-0.00977667015,1.10000000000001,10.675827162,-0.3519601254,"CC-CR",11.4238670366
"RothC",1,3,"1_3",NA,NA,NA,2.8869,21.480104,NA,-9.77667015,NA,42.1788,NA,NA,0.021480104,-0.00977667015,-10.5853,9.214964616,-0.3519601254,"CC-CR",-1.7222955094
"APSIM",1,41,"1_41",0.528945454545457,-0.0396666666666734,-0.219191919191934,5.5,34.36424,1.07200289655174,-10.0769635,NA,42.7,NA,NA,0.03436424,-0.0100769635,-20.1666666666667,14.74225896,-0.362770686,"RF05-CR",-5.78717839266666
"Daycent",1,41,"1_41",1.06964613243549,0.741920839506172,-0.683481382716053,-0.200000000000003,37.1853558,-0.451911798620684,-10.0769635,0.0386683712643662,37.4,NA,NA,0.0371853558,-0.0100769635,0.733333333333344,15.9525176382,-0.362770686,"RF05-CR",16.3230802855333
"RothC",1,41,"1_41",NA,NA,NA,-0.993699999999997,35.7747979,NA,-10.0769635,NA,32.0182,NA,NA,0.0357747979,-0.0100769635,3.64356666666666,15.3473882991,-0.362770686,"RF05-CR",18.6281842797667
"APSIM",1,42,"1_42",0.643208080808087,-0.0398222222222291,-0.24515555555557,5.3,31.34203,0.955171172413815,-10.08057865,NA,42.5,NA,NA,0.03134203,-0.01008057865,-19.4333333333333,13.44573087,-0.3629008314,"RF15-CR",-6.35050329473333
"Daycent",1,42,"1_42",0.973199928170615,0.741228098765426,-0.620104246913584,-0.300000000000004,35.188302,-0.455552808275854,-10.08057865,0.0387644565134083,37.3,NA,NA,0.035188302,-0.01008057865,1.10000000000001,15.095781558,-0.3629008314,"RF15-CR",15.8328807266
"RothC",1,42,"1_42",NA,NA,NA,-1.0808,33.265166,NA,-10.08057865,NA,31.9311,NA,NA,0.033265166,-0.01008057865,3.96293333333333,14.270756214,-0.3629008314,"RF15-CR",17.8707887159333
"APSIM",1,43,"1_43",0.815167676767679,-0.0398222222222291,-0.270949494949512,5.09999999999999,28.80112,0.832160689655189,-10.080089,NA,42.3,NA,NA,0.02880112,-0.010080089,-18.7,12.35568048,-0.362883204,"RF25-CR",-6.70720272399997
"Daycent",1,43,"1_43",0.81311509764312,0.738879901234569,-0.565315506172844,-0.399999999999999,33.0978532,-0.460753951724138,-10.080089,0.0393671022988488,37.2,NA,NA,0.0330978532,-0.010080089,1.46666666666666,14.1989790228,-0.362883204,"RF25-CR",15.3027624854667
"RothC",1,43,"1_43",NA,NA,NA,-1.1849,30.9494866,NA,-10.080089,NA,31.827,NA,NA,0.0309494866,-0.010080089,4.34463333333333,13.2773297514,-0.362883204,"RF25-CR",17.2590798807333
"APSIM",1,44,"1_44",1.06880808080808,-0.0398222222222291,-0.304775757575772,4.8,26.78114,0.72357710344829,-10.084158125,NA,42,NA,NA,0.02678114,-0.010084158125,-17.6,11.48910906,-0.3630296925,"RF35-CR",-6.4739206325
"Daycent",1,44,"1_44",0.461012112233469,0.730788246913576,-0.508669432098763,-0.600000000000001,30.8811821,-0.450970339310337,-10.084158125,0.0387770570881212,37,NA,NA,0.0308811821,-0.010084158125,2.2,13.2480271209,-0.3630296925,"RF35-CR",15.0849974284
"RothC",1,44,"1_44",NA,NA,NA,-1.3253,28.83116105,NA,-10.084158125,NA,31.6866,NA,NA,0.02883116105,-0.010084158125,4.85943333333333,12.36856809045,-0.3630296925,"RF35-CR",16.8649717312833
"APSIM",1,51,"1_51",0.499022222222223,-0.04013333333334,-0.263482828282847,3.3,25.75788,0.789634620689663,-10.43008935,NA,36,NA,NA,0.02575788,-0.01043008935,-12.1,11.05013052,-0.3754832166,"RR50-CR",-1.4253526966
"Daycent",1,51,"1_51",0.839507753086437,0.896548592592595,-0.993834074074073,-1.8,41.7537681,-0.332913827586202,-10.43008935,0.0401187842911827,35.8,NA,NA,0.0417537681,-0.01043008935,6.6,17.9123665149,-0.3754832166,"RR50-CR",24.1368832983
"RothC",1,51,"1_51",NA,NA,NA,-1.3114,33.75582405,NA,-10.43008935,NA,31.7005,NA,NA,0.03375582405,-0.01043008935,4.80846666666667,14.48124851745,-0.3754832166,"RR50-CR",18.9142319675167
