"scenario_descriptor","climate_scenario_num","mgmt_scenario_grp","mgmt_scenario_opt","scenario_name","scenario_abbrev","climate_esm","climate_esm_scenario","climate_esm.1","climate_desc"
"Cover Crop, Crop Rotation",1,3,"","1_3","CC-CR","Baseline","Baseline","Baseline","Baseline"
"Redu Fert 5%, Crop Rotation",1,4,"1","1_41","RF05-CR","Baseline","Baseline","Baseline","Baseline"
"Redu Fert 15%, Crop Rotation",1,4,"2","1_42","RF15-CR","Baseline","Baseline","Baseline","Baseline"
"Redu Fert 25%, Crop Rotation",1,4,"3","1_43","RF25-CR","Baseline","Baseline","Baseline","Baseline"
"Redu Fert 35%, Crop Rotation",1,4,"4","1_44","RF35-CR","Baseline","Baseline","Baseline","Baseline"
"Rmv Resid 50%, Crop Rotation",1,5,"1","1_51","RR50-CR","Baseline","Baseline","Baseline","Baseline"
"Rmv Resid 25%, Crop Rotation",1,5,"2","1_52","RR25-CR","Baseline","Baseline","Baseline","Baseline"
"Rmv Resid 0%, Crop Rotation",1,5,"3","1_53","RR00-CR","Baseline","Baseline","Baseline","Baseline"
"Rmv Resid 50%, No Till, Crop Rotation",1,5,"1","1_54","RR50-NT-CR","Baseline","Baseline","Baseline","Baseline"
"Rmv Resid 25%, No Till, Crop Rotation",1,5,"2","1_55","RR25-NT-CR","Baseline","Baseline","Baseline","Baseline"
"Rmv Resid 0%, No Till, Crop Rotation",1,5,"3","1_56","RR00-NT-CR","Baseline","Baseline","Baseline","Baseline"
"Biochar 19 Mgha, Crop Rotation",1,6,"1","1_61","BC19-CR","Baseline","Baseline","Baseline","Baseline"
"Biochar 38 Mgha, Crop Rotation",1,6,"2","1_62","BC38-CR","Baseline","Baseline","Baseline","Baseline"
"Biochar 57 Mgha, Crop Rotation",1,6,"3","1_63","BC57-CR","Baseline","Baseline","Baseline","Baseline"
"Biochar 76 Mgha, Crop Rotation",1,6,"4","1_64","BC76-CR","Baseline","Baseline","Baseline","Baseline"
"Biochar 96 Mgha, Crop Rotation",1,6,"5","1_65","BC96-CR","Baseline","Baseline","Baseline","Baseline"
"Continuous Crop",1,7,"","1_7","CN","Baseline","Baseline","Baseline","Baseline"
"No Till, Cover Crop, Crop Rotation",1,8,"","1_8","CC-NT-CR","Baseline","Baseline","Baseline","Baseline"
"Cover Crop, Crop Rotation",2,3,"","2_3","CC-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Redu Fert 5%, Crop Rotation",2,4,"1","2_41","RF05-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Redu Fert 15%, Crop Rotation",2,4,"2","2_42","RF15-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Redu Fert 25%, Crop Rotation",2,4,"3","2_43","RF25-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Redu Fert 35%, Crop Rotation",2,4,"4","2_44","RF35-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Rmv Resid 50%, Crop Rotation",2,5,"1","2_51","RR50-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Rmv Resid 25%, Crop Rotation",2,5,"2","2_52","RR25-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Rmv Resid 0%, Crop Rotation",2,5,"3","2_53","RR00-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Rmv Resid 50%, No Till, Crop Rotation",2,5,"1","2_54","RR50-NT-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Rmv Resid 25%, No Till, Crop Rotation",2,5,"2","2_55","RR25-NT-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Rmv Resid 0%, No Till, Crop Rotation",2,5,"3","2_56","RR00-NT-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Biochar 19 Mgha, Crop Rotation",2,6,"1","2_61","BC19-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Biochar 38 Mgha, Crop Rotation",2,6,"2","2_62","BC38-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Biochar 57 Mgha, Crop Rotation",2,6,"3","2_63","BC57-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Biochar 76 Mgha, Crop Rotation",2,6,"4","2_64","BC76-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Biochar 96 Mgha, Crop Rotation",2,6,"5","2_65","BC96-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Continuous Crop",2,7,"","2_7","CN","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"No Till, Cover Crop, Crop Rotation",2,8,"","2_8","CC-NT-CR","GFDL_ESM4","SSP1-2.6","GFDL_ESM4","GFDL_Low"
"Cover Crop, Crop Rotation",3,3,"","3_3","CC-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
