"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"APSIM",1,3,"1_3",NA,NA,NA,"0","12.64177","0.0206564137931018",NA,NA,"6.4","-0.242400000000004","0.441521531100481"
"Daycent",1,3,"1_3",NA,NA,NA,"1.7","11.2106352","0.0197419903448272","-16.83937648","-0.0204089638314151","9.6","0.164044444444444","0.482034051282071"
"RothC",1,3,"1_3",NA,NA,NA,"0.223",NA,NA,NA,NA,"7.0169",NA,NA
"APSIM",1,41,"1_41",NA,NA,NA,"0","12.23996","0.0458417931034459",NA,NA,"6.4","0.387692307692326","-0.56719180537776"
"Daycent",1,41,"1_41",NA,NA,NA,"0.800000000000002","11.161088","0.0377902413793109","-15.89976474","-0.00456842773945904","8.8","0.00693622222221579","1.0144677606838"
"RothC",1,41,"1_41",NA,NA,NA,"0.229450000000001",NA,NA,NA,NA,"6.948",NA,NA
"APSIM",1,42,"1_42",NA,NA,NA,"0","11.54558","0.0435085517241359",NA,NA,"6.4","0.385415384615403","-0.564599743918095"
"Daycent",1,42,"1_42",NA,NA,NA,"0.600000000000002","10.8636526","0.0319066468965516","-15.96429198","-0.00575147708811807","8.6","-0.00893777777778415","0.937093811965852"
"RothC",1,42,"1_42",NA,NA,NA,"0.1338",NA,NA,NA,NA,"6.8524",NA,NA
"APSIM",1,43,"1_43",NA,NA,NA,"-0.0999999999999996","10.86576","0.0335241379310323",NA,NA,"6.4","0.291107692307712","-0.564208962868157"
"Daycent",1,43,"1_43",NA,NA,NA,"0.300000000000002","10.5570626","0.0252578331034483","-16.03151286","-0.00710185011493808","8.3","-0.0271595555555617","0.852853196581229"
"RothC",1,43,"1_43",NA,NA,NA,"0.0382999999999996",NA,NA,NA,NA,"6.75695",NA,NA
"APSIM",1,44,"1_44",NA,NA,NA,"0","10.22076","0.0313406896551701",NA,NA,"6.4","0.258800000000019","-0.564316517285569"
