"","Model","scenario_abbrev","n_count"
"1","APSIM","CC-CR",5
"2","APSIM","CC-NT-CR",5
"3","APSIM","CN",5
"4","APSIM","RR00-CR",5
"5","APSIM","RR00-NT-CR",5
"6","Daycent","CC-CR",5
"7","Daycent","CC-NT-CR",5
"8","Daycent","CN",5
"9","Daycent","RR00-CR",5
"10","Daycent","RR00-NT-CR",5
"11","Ensemble","CC-CR",15
"12","Ensemble","CC-NT-CR",15
"13","Ensemble","CN",15
"14","Ensemble","RR00-CR",15
"15","Ensemble","RR00-NT-CR",15
"16","Observed","CC-CR",18
"17","Observed","CC-NT-CR",18
"18","Observed","CN",6
"19","Observed","RR00-CR",18
"20","Observed","RR00-NT-CR",18
"21","RothC","CC-CR",5
"22","RothC","CC-NT-CR",5
"23","RothC","CN",5
"24","RothC","RR00-CR",5
"25","RothC","RR00-NT-CR",5
