"year","Observed","Obs_sd","APSIM","Daycent","RothC","treatment_scen"
2003,6.28,0.86,6.5,6,6.15755,"Cover Crop, Crop Rotation"
2004,NA,NA,6.9,6,6.2388,"Cover Crop, Crop Rotation"
2005,6.81,0.53,6.6,6.3,6.60995,"Cover Crop, Crop Rotation"
2006,NA,NA,6.9,6.5,6.6558,"Cover Crop, Crop Rotation"
2007,6.42,0.54,6.7,6.6,6.5499,"Cover Crop, Crop Rotation"
2008,NA,NA,6.6,6.8,6.68785,"Cover Crop, Crop Rotation"
2009,NA,NA,6.6,6.7,6.65485,"Cover Crop, Crop Rotation"
2010,NA,NA,6.9,6.8,6.6084,"Cover Crop, Crop Rotation"
2003,6.07,0.53,6.2,6,6.15355,"Rmv Resid 0%, Crop Rotation"
2004,NA,NA,6.4,6,6.44735,"Rmv Resid 0%, Crop Rotation"
2005,6.04,0.32,6.4,6.4,6.5917,"Rmv Resid 0%, Crop Rotation"
2006,NA,NA,6.6,6.6,6.71995,"Rmv Resid 0%, Crop Rotation"
2007,6.15,0.4,6.6,6.9,6.57655,"Rmv Resid 0%, Crop Rotation"
2008,NA,NA,6.3,6.8,6.54335,"Rmv Resid 0%, Crop Rotation"
2009,NA,NA,6.3,6.7,6.5295,"Rmv Resid 0%, Crop Rotation"
2010,NA,NA,6.3,6.9,6.50715,"Rmv Resid 0%, Crop Rotation"
2003,6.65,1.28,6.2,6,6.15875,"Rmv Resid 0%, No Till, Crop Rotation"
2004,NA,NA,6.4,6.1,6.2048,"Rmv Resid 0%, No Till, Crop Rotation"
2005,6.53,0.69,6.4,6.1,6.25765,"Rmv Resid 0%, No Till, Crop Rotation"
2006,NA,NA,6.7,6.2,6.3675,"Rmv Resid 0%, No Till, Crop Rotation"
2007,6.11,0.64,7,6.3,6.28525,"Rmv Resid 0%, No Till, Crop Rotation"
2008,NA,NA,6.9,6.3,6.2452,"Rmv Resid 0%, No Till, Crop Rotation"
2009,NA,NA,7.1,6.3,6.24505,"Rmv Resid 0%, No Till, Crop Rotation"
2010,NA,NA,7.1,6.4,6.1925,"Rmv Resid 0%, No Till, Crop Rotation"
2003,NA,NA,5.8,6,6.15235,"Continuous Crop"
2004,NA,NA,6.2,6,6.2301,"Continuous Crop"
2005,5.91,0.24,6.3,6.4,6.4046,"Continuous Crop"
2006,NA,NA,6.7,6.6,6.41275,"Continuous Crop"
2007,5.43,0.19,7,6.8,6.336,"Continuous Crop"
2008,NA,NA,6.8,7,6.31285,"Continuous Crop"
2009,NA,NA,6.8,6.9,6.3023,"Continuous Crop"
2010,NA,NA,6.9,7,6.27655,"Continuous Crop"
2003,6.32,0.86,6.4,6,6.1574,"No Till, Cover Crop, Crop Rotation"
2004,NA,NA,7,6.1,6.13845,"No Till, Cover Crop, Crop Rotation"
2005,6.74,0.5,6.7,6.2,6.4255,"No Till, Cover Crop, Crop Rotation"
2006,NA,NA,7.1,6.4,6.43155,"No Till, Cover Crop, Crop Rotation"
2007,6.28,0.49,6.9,6.5,6.35695,"No Till, Cover Crop, Crop Rotation"
2008,NA,NA,6.8,6.5,6.4066,"No Till, Cover Crop, Crop Rotation"
2009,NA,NA,7.1,6.5,6.36445,"No Till, Cover Crop, Crop Rotation"
2010,NA,NA,7.7,6.6,6.29355,"No Till, Cover Crop, Crop Rotation"
