"year","Obs_sd","treatment_scen","Model","C_val"
2003,0.86,"Cover Crop, Crop Rotation","Observed",6.28
2003,NA,"Cover Crop, Crop Rotation","APSIM",6.5
2003,NA,"Cover Crop, Crop Rotation","Daycent",6
2003,NA,"Cover Crop, Crop Rotation","RothC",6.15755
2004,NA,"Cover Crop, Crop Rotation","Observed",NA
2004,NA,"Cover Crop, Crop Rotation","APSIM",6.9
2004,NA,"Cover Crop, Crop Rotation","Daycent",6
2004,NA,"Cover Crop, Crop Rotation","RothC",6.2388
2005,0.53,"Cover Crop, Crop Rotation","Observed",6.81
2005,NA,"Cover Crop, Crop Rotation","APSIM",6.6
2005,NA,"Cover Crop, Crop Rotation","Daycent",6.3
2005,NA,"Cover Crop, Crop Rotation","RothC",6.60995
2006,NA,"Cover Crop, Crop Rotation","Observed",NA
2006,NA,"Cover Crop, Crop Rotation","APSIM",6.9
2006,NA,"Cover Crop, Crop Rotation","Daycent",6.5
2006,NA,"Cover Crop, Crop Rotation","RothC",6.6558
2007,0.54,"Cover Crop, Crop Rotation","Observed",6.42
2007,NA,"Cover Crop, Crop Rotation","APSIM",6.7
2007,NA,"Cover Crop, Crop Rotation","Daycent",6.6
2007,NA,"Cover Crop, Crop Rotation","RothC",6.5499
2008,NA,"Cover Crop, Crop Rotation","Observed",NA
2008,NA,"Cover Crop, Crop Rotation","APSIM",6.6
2008,NA,"Cover Crop, Crop Rotation","Daycent",6.8
2008,NA,"Cover Crop, Crop Rotation","RothC",6.68785
2009,NA,"Cover Crop, Crop Rotation","Observed",NA
2009,NA,"Cover Crop, Crop Rotation","APSIM",6.6
2009,NA,"Cover Crop, Crop Rotation","Daycent",6.7
2009,NA,"Cover Crop, Crop Rotation","RothC",6.65485
2010,NA,"Cover Crop, Crop Rotation","Observed",NA
2010,NA,"Cover Crop, Crop Rotation","APSIM",6.9
2010,NA,"Cover Crop, Crop Rotation","Daycent",6.8
2010,NA,"Cover Crop, Crop Rotation","RothC",6.6084
2003,0.53,"Rmv Resid 0%, Crop Rotation","Observed",6.07
2003,NA,"Rmv Resid 0%, Crop Rotation","APSIM",6.2
2003,NA,"Rmv Resid 0%, Crop Rotation","Daycent",6
2003,NA,"Rmv Resid 0%, Crop Rotation","RothC",6.15355
2004,NA,"Rmv Resid 0%, Crop Rotation","Observed",NA
2004,NA,"Rmv Resid 0%, Crop Rotation","APSIM",6.4
2004,NA,"Rmv Resid 0%, Crop Rotation","Daycent",6
2004,NA,"Rmv Resid 0%, Crop Rotation","RothC",6.44735
2005,0.32,"Rmv Resid 0%, Crop Rotation","Observed",6.04
2005,NA,"Rmv Resid 0%, Crop Rotation","APSIM",6.4
2005,NA,"Rmv Resid 0%, Crop Rotation","Daycent",6.4
2005,NA,"Rmv Resid 0%, Crop Rotation","RothC",6.5917
2006,NA,"Rmv Resid 0%, Crop Rotation","Observed",NA
2006,NA,"Rmv Resid 0%, Crop Rotation","APSIM",6.6
2006,NA,"Rmv Resid 0%, Crop Rotation","Daycent",6.6
2006,NA,"Rmv Resid 0%, Crop Rotation","RothC",6.71995
2007,0.4,"Rmv Resid 0%, Crop Rotation","Observed",6.15
2007,NA,"Rmv Resid 0%, Crop Rotation","APSIM",6.6
2007,NA,"Rmv Resid 0%, Crop Rotation","Daycent",6.9
2007,NA,"Rmv Resid 0%, Crop Rotation","RothC",6.57655
2008,NA,"Rmv Resid 0%, Crop Rotation","Observed",NA
2008,NA,"Rmv Resid 0%, Crop Rotation","APSIM",6.3
2008,NA,"Rmv Resid 0%, Crop Rotation","Daycent",6.8
2008,NA,"Rmv Resid 0%, Crop Rotation","RothC",6.54335
2009,NA,"Rmv Resid 0%, Crop Rotation","Observed",NA
2009,NA,"Rmv Resid 0%, Crop Rotation","APSIM",6.3
2009,NA,"Rmv Resid 0%, Crop Rotation","Daycent",6.7
