"year","crop","treatment_scen","Model","yield_val"
1940,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1940,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1940,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.44713777777778
1941,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1941,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1941,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.20638444444444
1942,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1942,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1942,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.22984
1943,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1943,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1943,"Sorghum","Cover Crop, Crop Rotation","Daycent",0.568382222222222
1944,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1944,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1944,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.02668666666667
1945,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1945,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1945,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.26915777777778
1946,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1946,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1946,"Sorghum","Cover Crop, Crop Rotation","Daycent",0.662062222222222
1947,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1947,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1947,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.78096888888889
1948,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1948,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1948,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.24060888888889
1949,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1949,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1949,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.82846222222222
1950,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1950,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1950,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.80326222222222
1951,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1951,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1951,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.06618222222222
1952,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1952,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1952,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.19838444444444
1953,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1953,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1953,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.92538666666667
1954,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1954,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1954,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.67149333333333
1955,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1955,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1955,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.42808888888889
1956,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1956,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1956,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.79592
1957,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1957,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1957,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.80797333333333
1958,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1958,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1958,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.35528444444444
1959,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1959,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1959,"Sorghum","Cover Crop, Crop Rotation","Daycent",3.12616888888889
1980,"Sorghum","Cover Crop, Crop Rotation","Historical",0.978435463835284
1980,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1980,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1981,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
1981,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1981,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1982,"Sorghum","Cover Crop, Crop Rotation","Historical",2.89696421803191
1982,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1982,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1983,"Sorghum","Cover Crop, Crop Rotation","Historical",1.62739159617805
1983,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1983,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1984,"Sorghum","Cover Crop, Crop Rotation","Historical",2.59415052086769
1984,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1984,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1985,"Sorghum","Cover Crop, Crop Rotation","Historical",1.9606302680462
