"Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_CottonYld_Mgha","mean_SorghumYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_CottonYld_Mgha","sd_SorghumYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
1,3,"1_3",-0.03918,0.46178,0.641,0.01193,-0.01684,-2.35033,5.11634,-0.60622,2.15979,0.2874,0.02865,0.92387,0.00072,0,3.38754,0.30698,0,3.67194,"CC-CR"
1,7,"1_7",0.01674,NA,0.00858,0.01046,-0.01613,-0.03147,4.48666,-0.58062,3.87457,0.21583,NA,0.33922,0.00239,0,1.24381,1.02357,0,0.58558,"CN"
1,8,"1_8",-0.13132,0.55673,1.60433,0.01071,-0.01596,-5.88256,4.59573,-0.57445,-1.86128,0.00618,0.13595,2.59601,0.00219,0,9.5187,0.93941,0,10.32685,"CC-NT-CR"
1,41,"1_41",0.19731,0.22364,0.34315,0.0117,-0.0159,-1.25822,5.01952,-0.57239,3.18892,0.26924,1.1184,0.41194,0.00054,0,1.51045,0.23142,0,1.73604,"RF05-CR"
1,42,"1_42",0.18824,0.18625,0.2446,0.0112,-0.01596,-0.89687,4.80678,-0.57471,3.3352,0.27885,1.06186,0.31497,0.00034,0,1.1549,0.14627,0,1.29499,"RF15-CR"
1,43,"1_43",0.13197,0.14432,0.07943,0.01071,-0.01603,-0.29126,4.5952,-0.57713,3.72681,0.22505,1.00201,0.20315,0.00015,0,0.74487,0.06622,0,0.81015,"RF25-CR"
1,44,"1_44",0.10663,0.09752,0.01355,0.01024,-0.0161,-0.04968,4.39095,-0.5796,3.76166,0.2152,0.93599,0.08053,1e-05,0,0.29529,0.00624,0,0.29146,"RF35-CR"
1,51,"1_51",0.07792,-0.07814,0.21338,0.01008,-0.01669,-0.78241,4.32601,-0.60073,2.94288,0.11057,0.6584,0.33542,0.00143,0,1.22988,0.61378,0,0.73417,"RR50-CR"
1,52,"1_52",0.13146,0.02694,0.53783,0.01074,-0.01649,-1.97206,4.6089,-0.59377,2.04308,0.19235,0.82903,0.83519,4e-04,0,3.06237,0.17189,0,2.909,"RR25-CR"
1,53,"1_53",0.20015,0.24198,0.39207,0.01194,-0.01587,-1.43758,5.12295,-0.57127,3.11411,0.26079,1.14554,0.55908,0.00063,0,2.04995,0.26922,0,2.3153,"RR00-CR"
1,54,"1_54",-0.12891,-0.03308,1.18408,0.009,-0.01609,-4.34164,3.86245,-0.57906,-1.05825,0.0774,0.6449,2.09238,6e-05,0,7.67207,0.02626,0,7.64949,"RR50-NT-CR"
1,55,"1_55",-0.02154,0.00705,1.4551,0.00994,-0.01578,-5.33537,4.26345,-0.56811,-1.64002,0.23103,0.76084,2.38005,0.00085,0,8.72684,0.36644,0,9.03696,"RR25-NT-CR"
1,56,"1_56",0.03931,0.06827,1.69423,0.01105,-0.01548,-6.21219,4.7394,-0.55726,-2.03005,0.31067,0.8113,2.69435,0.00197,0,9.87928,0.84343,0,10.59377,"RR00-NT-CR"
1,61,"1_61",-0.14155,0.36326,-0.8,0.00921,NA,2.93333,3.95055,NA,6.88389,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
1,62,"1_62",-0.1752,0.41243,-1.6,0.00918,NA,5.86667,3.93864,NA,9.80531,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
1,63,"1_63",-0.23035,0.48751,-2.3,0.00906,NA,8.43333,3.8848,NA,12.31813,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
1,64,"1_64",-0.2213,0.38089,-2.9,0.00893,NA,10.63333,3.82997,NA,14.4633,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
1,65,"1_65",-0.1782,0.58434,-3.9,0.0088,NA,14.3,3.77705,NA,18.07705,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
5,3,"5_3",0.09701,0.21723,0.51018,0.01151,-0.01672,-1.87067,4.93749,-0.60206,2.46476,0.43553,0.68704,0.85279,0.00021,0,3.12691,0.09107,0,3.21769,"CC-CR"
5,7,"5_7",0.14855,NA,-0.05968,0.01027,-0.01601,0.21884,4.40372,-0.5764,4.04615,0.475,NA,0.22514,0.00187,0,0.8255,0.80331,0,0.38545,"CN"
5,8,"5_8",0.12423,0.01865,1.35345,0.01036,-0.01589,-4.96265,4.44311,-0.57216,-1.0917,0.4038,0.61282,2.73936,0.00168,0,10.04431,0.71863,0,10.70418,"CC-NT-CR"
5,41,"5_41",0.12119,0.29598,0.20133,0.01183,-0.01575,-0.73822,5.0765,-0.56712,3.77116,0.87314,0.81178,0.65605,0.00026,0,2.40553,0.11057,0,2.51512,"RF05-CR"
5,42,"5_42",0.12628,0.265,0.13412,0.01137,-0.01583,-0.49176,4.87684,-0.5699,3.81517,0.77878,0.76237,0.50348,1e-04,0,1.84609,0.04363,0,1.88943,"RF15-CR"
5,43,"5_43",0.08585,0.20337,-0.03358,0.0109,-0.01591,0.12314,4.67616,-0.57274,4.22655,0.74853,0.749,0.41621,6e-05,0,1.52612,0.02379,0,1.50326,"RF25-CR"
5,44,"5_44",0.07282,0.16621,-0.2015,0.01044,-0.01599,0.73883,4.47741,-0.5757,4.64054,0.68251,0.68919,0.34512,0.00019,0,1.26543,0.08365,0,1.19343,"RF35-CR"
5,51,"5_51",0.11258,0.13743,0.11857,0.01025,-0.01658,-0.43474,4.39657,-0.59684,3.36498,0.45319,0.66187,0.30172,0.00163,0,1.1063,0.69736,0,0.41955,"RR50-CR"
5,52,"5_52",0.11707,0.19373,0.40942,0.01089,-0.01639,-1.50119,4.67327,-0.58993,2.58215,0.59892,0.70786,0.91357,0.00066,0,3.34977,0.2815,0,3.07283,"RR25-CR"
5,53,"5_53",0.1465,0.31249,0.25117,0.01208,-0.01572,-0.92094,5.18052,-0.56579,3.69378,0.88174,0.83124,0.70559,0.00035,0,2.58716,0.14941,0,2.73545,"RR00-CR"
5,54,"5_54",0.11102,0.00029,1.0783,0.00913,-0.01603,-3.95377,3.91798,-0.57697,-0.61276,0.40686,0.49087,2.10393,0.00037,0,7.7144,0.16075,0,7.56955,"RR50-NT-CR"
5,55,"5_55",0.15006,0.02334,1.24537,0.00985,-0.01569,-4.56634,4.22392,-0.56486,-0.90728,0.42122,0.54557,2.48178,4e-04,0,9.09987,0.16965,0,9.25396,"RR25-NT-CR"
