"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"APSIM",1,3,"1_3",NA,NA,NA,0,12.64177,0.0206564137931018,-16.83937648,NA,6.4,-0.242400000000004,0.441521531100481,0.01264177,-0.01683937648,0,5.42331933,-0.60621755328,"CC-CR",4.81710177672
"Daycent",1,3,"1_3",NA,NA,NA,1.7,11.2106352,0.0197419903448272,-16.83937648,-0.0204089638314151,9.6,0.164044444444444,0.482034051282071,0.0112106352,-0.01683937648,-6.23333333333333,4.8093625008,-0.60621755328,"CC-CR",-2.03018838581333
"RothC",1,3,"1_3",NA,NA,NA,0.223,11.9262026,NA,-16.83937648,NA,7.0169,NA,NA,0.0119262026,-0.01683937648,-0.817666666666667,5.1163409154,-0.60621755328,"CC-CR",3.69245669545333
"APSIM",1,41,"1_41",NA,NA,NA,0,12.23996,0.0458417931034459,-15.89976474,NA,6.4,0.387692307692326,-0.56719180537776,0.01223996,-0.01589976474,0,5.25094284,-0.57239153064,"RF05-CR",4.67855130936
"Daycent",1,41,"1_41",NA,NA,NA,0.800000000000002,11.161088,0.0377902413793109,-15.89976474,-0.00456842773945904,8.8,0.00693622222221579,1.0144677606838,0.011161088,-0.01589976474,-2.93333333333334,4.788106752,-0.57239153064,"RF05-CR",1.28238188802666
"RothC",1,41,"1_41",NA,NA,NA,0.229450000000001,11.700524,NA,-15.89976474,NA,6.948,NA,NA,0.011700524,-0.01589976474,-0.84131666666667,5.019524796,-0.57239153064,"RF05-CR",3.60581659869333
"APSIM",1,42,"1_42",NA,NA,NA,0,11.54558,0.0435085517241359,-15.96429198,NA,6.4,0.385415384615403,-0.564599743918095,0.01154558,-0.01596429198,0,4.95305382,-0.57471451128,"RF15-CR",4.37833930872
"Daycent",1,42,"1_42",NA,NA,NA,0.600000000000002,10.8636526,0.0319066468965516,-15.96429198,-0.00575147708811807,8.6,-0.00893777777778415,0.937093811965852,0.0108636526,-0.01596429198,-2.20000000000001,4.6605069654,-0.57471451128,"RF15-CR",1.88579245411999
"RothC",1,42,"1_42",NA,NA,NA,0.1338,11.2046163,NA,-15.96429198,NA,6.8524,NA,NA,0.0112046163,-0.01596429198,-0.4906,4.8067803927,-0.57471451128,"RF15-CR",3.74146588142
"APSIM",1,43,"1_43",NA,NA,NA,-0.0999999999999996,10.86576,0.0335241379310323,-16.03151286,NA,6.4,0.291107692307712,-0.564208962868157,0.01086576,-0.01603151286,0.366666666666665,4.66141104,-0.57713446296,"RF25-CR",4.45094324370667
"Daycent",1,43,"1_43",NA,NA,NA,0.300000000000002,10.5570626,0.0252578331034483,-16.03151286,-0.00710185011493808,8.3,-0.0271595555555617,0.852853196581229,0.0105570626,-0.01603151286,-1.10000000000001,4.5289798554,-0.57713446296,"RF25-CR",2.85184539243999
"RothC",1,43,"1_43",NA,NA,NA,0.0382999999999996,10.7114113,NA,-16.03151286,NA,6.75695,NA,NA,0.0107114113,-0.01603151286,-0.140433333333332,4.5951954477,-0.57713446296,"RF25-CR",3.87762765140667
"APSIM",1,44,"1_44",NA,NA,NA,0,10.22076,0.0313406896551701,-16.0999625,NA,6.4,0.258800000000019,-0.564316517285569,0.01022076,-0.0160999625,0,4.38470604,-0.57959865,"RF35-CR",3.80510739
"Daycent",1,44,"1_44",NA,NA,NA,0.100000000000002,10.2498505,0.0181601310344829,-16.0999625,-0.00837510314175804,8.1,-0.0455402222222285,0.759366495726525,0.0102498505,-0.0160999625,-0.366666666666674,4.3971858645,-0.57959865,"RF35-CR",3.45092054783333
"RothC",1,44,"1_44",NA,NA,NA,-0.0593500000000002,10.23530525,NA,-16.0999625,NA,6.65935,NA,NA,0.01023530525,-0.0160999625,0.217616666666667,4.39094595225,-0.57959865,"RF35-CR",4.02896396891667
"APSIM",1,51,"1_51",NA,NA,NA,0,8.65322,0.0183383448275849,-16.68686588,NA,4.3,0.156105263157885,-0.543701920614637,0.00865322,-0.01668686588,0,3.71223138,-0.60072717168,"RR50-CR",3.11150420832
"Daycent",1,51,"1_51",NA,NA,NA,0.600000000000002,11.5146723,0.00826654758620637,-16.68686588,-0.0194474229885024,8.6,-0.0002651111111176,0.387412649572671,0.0115146723,-0.01668686588,-2.20000000000001,4.9397944167,-0.60072717168,"RR50-CR",2.13906724501999
"RothC",1,51,"1_51",NA,NA,NA,0.0401500000000006,10.08394615,NA,-16.68686588,NA,6.6359,NA,NA,0.01008394615,-0.01668686588,-0.147216666666669,4.32601289835,-0.60072717168,"RR50-CR",3.57806906000333
"APSIM",1,52,"1_52",NA,NA,NA,0,10.34269,0.0254706206896533,-16.49351484,NA,5.3,0.267476923076938,-0.559272215108876,0.01034269,-0.01649351484,0,4.43701401,-0.59376653424,"RR25-CR",3.84324747576
"Daycent",1,52,"1_52",NA,NA,NA,1.5,11.1440344,0.0140122041379306,-16.49351484,-0.0168856996168547,9.5,-0.00455133333333935,0.613149948717975,0.0111440344,-0.01649351484,-5.5,4.7807907576,-0.59376653424,"RR25-CR",-1.31297577664
"RothC",1,52,"1_52",NA,NA,NA,0.1135,10.7433622,NA,-16.49351484,NA,6.7708,NA,NA,0.0107433622,-0.01649351484,-0.416166666666667,4.6089023838,-0.59376653424,"RR25-CR",3.59896918289333
"APSIM",1,53,"1_53",NA,NA,NA,-0.0999999999999996,12.56916,0.0437342068965495,-15.86853304,NA,6.4,0.384553846153864,-0.568034314980828,0.01256916,-0.01586853304,0.366666666666665,5.39216964,-0.57126718944,"RR00-CR",5.18756911722666
"Daycent",1,53,"1_53",NA,NA,NA,1,11.3140738,0.0405707779310342,-15.86853304,-0.00401564888888428,9,0.0157374444444374,1.05200300854705,0.0113140738,-0.01586853304,-3.66666666666667,4.8537376602,-0.57126718944,"RR00-CR",0.615803804093333
"RothC",1,53,"1_53",NA,NA,NA,0.2762,11.9416169,NA,-15.86853304,NA,6.99475,NA,NA,0.0119416169,-0.01586853304,-1.01273333333333,5.1229536501,-0.57126718944,"RR00-CR",3.53895312732667
"APSIM",1,54,"1_54",NA,NA,NA,0,8.94216,0.0198380689655162,-16.0850321736,NA,4.8,-0.0741846153845991,-0.489092957746514,0.00894216,-0.0160850321736,0,3.83618664,-0.5790611582496,"RR50-NT-CR",3.2571254817504
"Daycent",1,54,"1_54",NA,NA,NA,3.6,9.0645889,0.014356583448275,-16.0850321736,-0.0251208990298821,11.6,-0.183643888888898,0.422934427350459,0.0090645889,-0.0160850321736,-13.2,3.8887086381,-0.5790611582496,"RR50-NT-CR",-9.8903525201496
"RothC",1,54,"1_54",NA,NA,NA,-0.0477499999999997,9.00337445,NA,-16.0850321736,NA,6.2226,NA,NA,0.00900337445,-0.0160850321736,0.175083333333332,3.86244763905,-0.5790611582496,"RR50-NT-CR",3.45846981413373
"APSIM",1,55,"1_55",NA,NA,NA,0.199999999999999,10.79229,0.0434524137931026,-15.7807219911,NA,6.1,0.141815384615407,-0.530945966709382,0.01079229,-0.0157807219911,-0.73333333333333,4.62989241,-0.5681059916796,"RR25-NT-CR",3.32845308498707
"Daycent",1,55,"1_55",NA,NA,NA,4.2,9.0839254,0.0216109806896543,-15.7807219911,-0.0232205645379272,12.2,-0.18490522222223,0.545043555555587,0.0090839254,-0.0157807219911,-15.4,3.8970039966,-0.5681059916796,"RR25-NT-CR",-12.0711019950796
